# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=1000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.416927 -----------------
#dely    BF
0.050  0.6514  0.0018
0.150  0.6204  0.0018
0.250  0.5362  0.0016
0.350  0.4884  0.0015
0.450  0.4270  0.0014
0.550  0.3503  0.0012
0.650  0.2950  0.0011
0.750  0.2298  0.0009
0.850  0.1786  0.0008
0.950  0.1303  0.0006
1.050  0.0995  0.0005
1.150  0.0648  0.0004
1.250  0.0431  0.0003
1.350  0.0276  0.0002
1.450  0.0158  0.0002
1.550  0.0076  0.0001
1.650  0.0034  0.0001
1.750 -0.0000 -0.0000
