# ICODE=321, JCODE=-2212
# SIGMA_QGP=1, SIGMA_HAD=0.4
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.25, BARYON_FUDGE=0.666667
# ------- normalization=0.018018 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.0454  0.0001 -0.0380  0.0744  0.0090
0.150  0.0410  0.0001 -0.0361  0.0691  0.0080
0.250  0.0355  0.0001 -0.0329  0.0613  0.0071
0.350  0.0274  0.0001 -0.0292  0.0507  0.0060
0.450  0.0189  0.0001 -0.0256  0.0402  0.0043
0.550  0.0116  0.0000 -0.0217  0.0307  0.0026
0.650  0.0060  0.0000 -0.0181  0.0225  0.0016
0.750  0.0019  0.0000 -0.0140  0.0149  0.0011
0.850 -0.0004 -0.0000 -0.0107  0.0097  0.0006
0.950 -0.0018 -0.0000 -0.0076  0.0056  0.0003
1.050 -0.0020 -0.0000 -0.0051  0.0030  0.0001
1.150 -0.0016 -0.0000 -0.0030  0.0014  0.0000
1.250 -0.0011 -0.0000 -0.0016  0.0005  0.0000
1.350 -0.0005 -0.0000 -0.0006  0.0002  0.0000
1.450 -0.0002 -0.0000 -0.0002  0.0000  0.0000
1.550 -0.0000 -0.0000 -0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000  0.0000  0.0000
