# ICODE=2212, JCODE=-2212
# SIGMA_QGP=1, SIGMA_HAD=0.4
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.5, QUARK_ENTROPY_RATIO=0.18, BARYON_FUDGE=0.666667
# ------- normalization=0.0786551 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.1160  0.0005  0.1614 -0.0454  0.0000
0.150  0.1121  0.0005  0.1541 -0.0419  0.0000
0.250  0.1043  0.0005  0.1404 -0.0361  0.0000
0.350  0.0927  0.0005  0.1217 -0.0290  0.0000
0.450  0.0843  0.0005  0.1068 -0.0225  0.0000
0.550  0.0715  0.0005  0.0881 -0.0167  0.0000
0.650  0.0610  0.0005  0.0725 -0.0116  0.0000
0.750  0.0476  0.0005  0.0550 -0.0074  0.0000
0.850  0.0383  0.0004  0.0426 -0.0043  0.0000
0.950  0.0264  0.0004  0.0289 -0.0024  0.0000
1.050  0.0163  0.0003  0.0175 -0.0012  0.0000
1.150  0.0095  0.0002  0.0100 -0.0005  0.0000
1.250  0.0047  0.0002  0.0048 -0.0001  0.0000
1.350  0.0015  0.0001  0.0015 -0.0000  0.0000
1.450  0.0003  0.0000  0.0003 -0.0000  0.0000
1.550  0.0000  0.0000  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000  0.0000  0.0000
