# ICODE=211, JCODE=-321
# SIGMA_QGP=1, SIGMA_HAD=0.4
# NSAMPLE=10000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.17, BARYON_FUDGE=0.666667
# ------- normalization=0.013473 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.0190  0.0000  0.0030  0.0044  0.0117
0.150  0.0187  0.0000  0.0030  0.0041  0.0115
0.250  0.0181  0.0000  0.0031  0.0040  0.0110
0.350  0.0164  0.0000  0.0025  0.0035  0.0104
0.450  0.0146  0.0000  0.0021  0.0029  0.0096
0.550  0.0127  0.0000  0.0021  0.0024  0.0082
0.650  0.0104  0.0000  0.0017  0.0020  0.0068
0.750  0.0083  0.0000  0.0013  0.0015  0.0055
0.850  0.0062  0.0000  0.0011  0.0010  0.0041
0.950  0.0042  0.0000  0.0008  0.0008  0.0026
1.050  0.0029  0.0000  0.0008  0.0005  0.0016
1.150  0.0017  0.0000  0.0006  0.0004  0.0008
1.250  0.0009  0.0000  0.0003  0.0002  0.0003
1.350  0.0004  0.0000  0.0003  0.0001  0.0001
1.450  0.0001  0.0000  0.0000  0.0000  0.0000
1.550  0.0001  0.0000  0.0001  0.0000  0.0000
1.650 -0.0000 -0.0000 -0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000  0.0000  0.0000
