# SIGMA_QGP=1, SIGMA_HAD=0.4
# NSAMPLE=10000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.17, BARYON_FUDGE=0.666667
# ------- normalization=0.235933 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.3307  0.0003  0.0598  0.0991  0.1718
0.150  0.3066  0.0002  0.0544  0.0920  0.1601
0.250  0.2804  0.0002  0.0513  0.0837  0.1455
0.350  0.2546  0.0002  0.0466  0.0748  0.1332
0.450  0.2282  0.0002  0.0432  0.0657  0.1194
0.550  0.1982  0.0002  0.0377  0.0564  0.1041
0.650  0.1706  0.0002  0.0341  0.0476  0.0889
0.750  0.1434  0.0002  0.0293  0.0389  0.0751
0.850  0.1173  0.0002  0.0251  0.0310  0.0612
0.950  0.0943  0.0001  0.0212  0.0243  0.0488
1.050  0.0739  0.0001  0.0183  0.0185  0.0372
1.150  0.0552  0.0001  0.0143  0.0136  0.0272
1.250  0.0402  0.0001  0.0115  0.0098  0.0189
1.350  0.0279  0.0001  0.0084  0.0068  0.0126
1.450  0.0191  0.0001  0.0065  0.0045  0.0081
1.550  0.0113  0.0000  0.0042  0.0025  0.0045
1.650  0.0058  0.0000  0.0025  0.0012  0.0021
1.750  0.0016  0.0000  0.0007  0.0003  0.0006
