# SIGMA_QGP=1, SIGMA_HAD=0.2
# NSAMPLE=1000000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.175, BARYON_FUDGE=0.65
# ------- normalization=0.241839 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.3539  0.0000  0.0627  0.1123  0.1788
0.150  0.3283  0.0000  0.0589  0.1039  0.1655
0.250  0.2986  0.0000  0.0547  0.0939  0.1500
0.350  0.2669  0.0000  0.0503  0.0828  0.1339
0.450  0.2339  0.0000  0.0457  0.0712  0.1171
0.550  0.2009  0.0000  0.0411  0.0598  0.1000
0.650  0.1693  0.0000  0.0364  0.0490  0.0839
0.750  0.1405  0.0000  0.0320  0.0392  0.0694
0.850  0.1143  0.0000  0.0276  0.0306  0.0561
0.950  0.0906  0.0000  0.0234  0.0232  0.0440
1.050  0.0699  0.0000  0.0195  0.0171  0.0333
1.150  0.0524  0.0000  0.0158  0.0123  0.0243
1.250  0.0380  0.0000  0.0125  0.0085  0.0170
1.350  0.0264  0.0000  0.0095  0.0056  0.0113
1.450  0.0173  0.0000  0.0068  0.0035  0.0071
1.550  0.0103  0.0000  0.0044  0.0019  0.0040
1.650  0.0052  0.0000  0.0024  0.0009  0.0019
1.750  0.0015  0.0000  0.0007  0.0002  0.0005
