# ICODE=321, JCODE=-321
# SIGMA_QGP=1, SIGMA_HAD=0.1
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.18, BARYON_FUDGE=0.666667
# ------- normalization=0.0588268 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.0842  0.0001  0.0927 -0.0143  0.0058
0.150  0.0802  0.0001  0.0879 -0.0132  0.0055
0.250  0.0756  0.0001  0.0818 -0.0112  0.0050
0.350  0.0684  0.0001  0.0729 -0.0089  0.0044
0.450  0.0611  0.0001  0.0639 -0.0067  0.0039
0.550  0.0524  0.0001  0.0539 -0.0048  0.0032
0.650  0.0450  0.0001  0.0456 -0.0032  0.0027
0.750  0.0363  0.0001  0.0363 -0.0020  0.0021
0.850  0.0290  0.0001  0.0286 -0.0012  0.0016
0.950  0.0215  0.0001  0.0210 -0.0006  0.0012
1.050  0.0154  0.0001  0.0150 -0.0003  0.0007
1.150  0.0099  0.0001  0.0096 -0.0001  0.0004
1.250  0.0056  0.0001  0.0055 -0.0000  0.0002
1.350  0.0027  0.0000  0.0026 -0.0000  0.0000
1.450  0.0009  0.0000  0.0009 -0.0000  0.0000
1.550  0.0002  0.0000  0.0002  0.0000  0.0000
1.650  0.0000  0.0000  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000  0.0000  0.0000
