# ICODE=321, JCODE=-2212
# SIGMA_QGP=1, SIGMA_HAD=0.1
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.18, BARYON_FUDGE=0.666667
# ------- normalization=0.0180463 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.0552  0.0001 -0.0274  0.0736  0.0090
0.150  0.0494  0.0001 -0.0260  0.0675  0.0079
0.250  0.0383  0.0001 -0.0240  0.0553  0.0071
0.350  0.0277  0.0001 -0.0213  0.0428  0.0061
0.450  0.0164  0.0001 -0.0185  0.0305  0.0044
0.550  0.0074  0.0000 -0.0156  0.0204  0.0026
0.650  0.0015  0.0000 -0.0127  0.0126  0.0015
0.750 -0.0019 -0.0000 -0.0103  0.0072  0.0011
0.850 -0.0033 -0.0000 -0.0078  0.0038  0.0006
0.950 -0.0034 -0.0000 -0.0055  0.0018  0.0003
1.050 -0.0029 -0.0000 -0.0037  0.0007  0.0001
1.150 -0.0021 -0.0000 -0.0024  0.0002  0.0000
1.250 -0.0011 -0.0000 -0.0012  0.0001  0.0000
1.350 -0.0005 -0.0000 -0.0005  0.0000  0.0000
1.450 -0.0001 -0.0000 -0.0001  0.0000  0.0000
1.550 -0.0000 -0.0000 -0.0000  0.0000  0.0000
1.650 -0.0000 -0.0000 -0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000  0.0000  0.0000
