# ICODE=321, JCODE=-2212
# SIGMA_QGP=1, SIGMA_HAD=0.7
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.18, BARYON_FUDGE=0.666667
# ------- normalization=0.00942535 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.0205  0.0001 -0.0274  0.0387  0.0093
0.150  0.0182  0.0001 -0.0259  0.0364  0.0077
0.250  0.0161  0.0001 -0.0240  0.0331  0.0070
0.350  0.0136  0.0000 -0.0213  0.0287  0.0061
0.450  0.0097  0.0000 -0.0188  0.0241  0.0044
0.550  0.0070  0.0000 -0.0155  0.0199  0.0026
0.650  0.0047  0.0000 -0.0125  0.0157  0.0015
0.750  0.0028  0.0000 -0.0102  0.0119  0.0011
0.850  0.0016  0.0000 -0.0077  0.0088  0.0006
0.950  0.0007  0.0000 -0.0056  0.0060  0.0003
1.050 -0.0001 -0.0000 -0.0038  0.0036  0.0001
1.150 -0.0001 -0.0000 -0.0023  0.0021  0.0000
1.250 -0.0002 -0.0000 -0.0011  0.0009  0.0000
1.350 -0.0002 -0.0000 -0.0005  0.0004  0.0000
1.450 -0.0000 -0.0000 -0.0001  0.0001  0.0000
1.550 -0.0000 -0.0000 -0.0000  0.0000  0.0000
1.650 -0.0000 -0.0000 -0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000  0.0000  0.0000
