# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0888088 -----------------
#dely    BF
0.050  0.1600  0.0070
0.150  0.1674  0.0074
0.250  0.1202  0.0060
0.350  0.1368  0.0070
0.450  0.0879  0.0048
0.550  0.0648  0.0040
0.650  0.0518  0.0034
0.750  0.0436  0.0033
0.850  0.0124  0.0010
0.950  0.0138  0.0012
1.050  0.0149  0.0017
1.150  0.0147  0.0019
1.250  0.0001  0.0000
1.350  0.0008  0.0002
1.450 -0.0011 -0.0003
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
