# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.458123 -----------------
#dely    BF
0.050 -0.2305 -0.0084
0.150 -0.1889 -0.0072
0.250 -0.1821 -0.0068
0.350 -0.2196 -0.0083
0.450 -0.0959 -0.0037
0.550 -0.0908 -0.0037
0.650 -0.0600 -0.0025
0.750 -0.0238 -0.0011
0.850  0.0275  0.0012
0.950  0.0622  0.0028
1.050  0.1353  0.0066
1.150  0.1414  0.0071
1.250  0.1979  0.0104
1.350  0.2212  0.0120
1.450  0.3237  0.0171
1.550  0.3158  0.0179
1.650  0.3308  0.0198
1.750  0.3207  0.0205
1.850  0.2924  0.0185
1.950  0.3237  0.0218
2.050  0.4179  0.0282
2.150  0.3130  0.0232
2.250  0.2679  0.0204
2.350  0.2821  0.0215
2.450  0.2265  0.0179
2.550  0.1402  0.0121
2.650  0.2400  0.0208
2.750  0.1218  0.0103
2.850  0.1363  0.0124
2.950  0.0852  0.0077
3.050  0.0063  0.0006
3.150  0.0040  0.0004
3.250 -0.0218 -0.0023
3.350 -0.0793 -0.0081
3.450 -0.0857 -0.0092
3.550 -0.0712 -0.0078
3.650 -0.0882 -0.0105
3.750 -0.0548 -0.0065
3.850 -0.1421 -0.0179
3.950 -0.1171 -0.0149
4.050 -0.1639 -0.0216
4.150 -0.1095 -0.0158
4.250 -0.1621 -0.0212
4.350 -0.1079 -0.0165
4.450 -0.0635 -0.0090
4.550 -0.1686 -0.0244
4.650 -0.1124 -0.0159
4.750 -0.1232 -0.0180
4.850 -0.0910 -0.0143
4.950 -0.0028 -0.0008
5.050 -0.0735 -0.0126
5.150 -0.0710 -0.0126
5.250  0.0141  0.0028
5.350 -0.0478 -0.0096
5.450 -0.0282 -0.0062
5.550 -0.0183 -0.0040
5.650 -0.0232 -0.0045
5.750 -0.0018 -0.0004
5.850  0.0139  0.0035
5.950  0.0297  0.0072
6.050  0.0054  0.0015
6.150  0.0424  0.0095
6.250  0.0378  0.0085
6.350  0.0063  0.0028
6.450  0.0243  0.0073
6.550  0.0089  0.0026
6.650  0.0797  0.0256
6.750  0.1123  0.0362
6.850  0.0821  0.0230
6.950  0.0192  0.0078
7.050  0.0364  0.0139
7.150  0.0358  0.0210
7.250  0.0175  0.0072
7.350  0.0394  0.0231
7.450  0.1842  0.0757
7.550  0.0494  0.0253
7.650  0.0261  0.0261
7.750  0.0508  0.0259
7.850  0.0073  0.0033
7.950  0.0037  0.0026
8.050 -0.0018 -0.0011
8.150  0.0000  0.0000
8.250  0.0035  0.0035
8.350  0.1497  0.0821
8.450  0.0000  0.0000
8.550  0.1421  0.0765
8.650  0.1148  0.0648
8.750  0.0000  0.0000
8.850  0.0036  0.0025
8.950  0.0037  0.0037
9.050  0.1944  0.1092
9.150  0.0000  0.0000
9.250  0.0000  0.0000
9.350  0.0963  0.0963
9.450 -0.0146 -0.0073
9.550  0.0033  0.0033
9.650  0.0035  0.0035
9.750  0.2155  0.1717
9.850  0.2532  0.1834
9.950  0.0067  0.0048
10.050  0.1450  0.1302
10.150  0.0000  0.0000
10.250  0.0000  0.0000
10.350  0.0000  0.0000
10.450  0.0098  0.0057
10.550  0.0000  0.0000
10.650  0.0000  0.0000
10.750  0.0000  0.0000
10.850  0.0033  0.0033
10.950  0.0000  0.0000
11.050  0.0032  0.0032
11.150  0.0000  0.0000
11.250  0.0000  0.0000
11.350  0.0000  0.0000
11.450 -0.0395 -0.0395
11.550  0.0032  0.0032
11.650  0.0048  0.0048
11.750  0.0033  0.0033
11.850  0.0000  0.0000
11.950  0.2772  0.2772
