# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0166001 -----------------
#dely    BF    dB     BFVar
0.050 -0.0242 -0.0002  0.0014
0.150 -0.0252 -0.0002  0.0015
0.250 -0.0218 -0.0002  0.0012
0.350 -0.0210 -0.0002  0.0030
0.450 -0.0184 -0.0002  0.0020
0.550 -0.0156 -0.0001  0.0015
0.650 -0.0123 -0.0001  0.0022
0.750 -0.0099 -0.0001  0.0025
0.850 -0.0074 -0.0001  0.0015
0.950 -0.0048 -0.0001  0.0008
1.050 -0.0025 -0.0000  0.0005
1.150 -0.0019 -0.0000  0.0002
1.250 -0.0007 -0.0000  0.0003
1.350 -0.0002 -0.0000  0.0001
1.450 -0.0001 -0.0000  0.0001
1.550 -0.0000 -0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
