!-------------------------------------------------------------------
!pT[GeV/c]	  Minimum bias              	  0--5%                     
!-------------------------------------------------------------------
0.45     	  5.46e+00  	  1.1e-01  	  1.83e+01  	  3.9e-01  
0.55     	  4.28e+00  	  7.8e-02  	  1.48e+01  	  2.9e-01  
0.65     	  3.11e+00  	  5.4e-02  	  1.05e+01  	  2.0e-01  
0.75     	  2.27e+00  	  3.9e-02  	  7.97e+00  	  1.5e-01  
0.85     	  1.69e+00  	  3.0e-02  	  5.96e+00  	  1.2e-01  
0.95     	  1.20e+00  	  2.2e-02  	  4.19e+00  	  8.5e-02  
1.05     	  9.06e-01  	  1.7e-02  	  3.20e+00  	  6.8e-02  
1.15     	  6.57e-01  	  1.3e-02  	  2.31e+00  	  5.2e-02  
1.25     	  4.55e-01  	  8.9e-03  	  1.64e+00  	  3.9e-02  
1.35     	  3.24e-01  	  6.5e-03  	  1.13e+00  	  2.9e-02  
1.45     	  2.43e-01  	  5.1e-03  	  8.52e-01  	  2.4e-02  
1.55     	  1.76e-01  	  3.8e-03  	  6.03e-01  	  1.8e-02  
1.65     	  1.27e-01  	  2.9e-03  	  4.43e-01  	  1.5e-02  
1.75     	  9.47e-02  	  2.3e-03  	  3.61e-01  	  1.3e-02  
1.85     	  7.24e-02  	  1.8e-03  	  2.64e-01  	  1.0e-02  
1.95     	  5.67e-02  	  1.5e-03  	  2.12e-01  	  9.1e-03  
