!-----------------------------------------------------------------
!pT[GeV/c]	  Minimum bias              	  0--5%                   
!-----------------------------------------------------------------
0.65     	  9.51e-01  	  2.7e-02  	  2.90e+00  	  9.3e-02
0.75     	  8.47e-01  	  2.4e-02  	  2.65e+00  	  8.5e-02
0.85     	  7.08e-01  	  2.0e-02  	  2.28e+00  	  7.3e-02
0.95     	  6.06e-01  	  1.8e-02  	  2.00e+00  	  6.6e-02
1.05     	  5.05e-01  	  1.5e-02  	  1.68e+00  	  5.7e-02
1.15     	  4.23e-01  	  1.3e-02  	  1.46e+00  	  5.1e-02
1.25     	  3.30e-01  	  1.0e-02  	  1.16e+00  	  4.2e-02
1.35     	  2.71e-01  	  8.8e-03  	  9.72e-01  	  3.7e-02
1.45     	  2.04e-01  	  6.7e-03  	  7.42e-01  	  2.9e-02
1.55     	  1.68e-01  	  5.8e-03  	  6.05e-01  	  2.5e-02
1.65     	  1.25e-01  	  4.4e-03  	  4.55e-01  	  2.0e-02
1.75     	  9.38e-02  	  3.4e-03  	  3.51e-01  	  1.6e-02
1.85     	  7.50e-02  	  2.8e-03  	  2.85e-01  	  1.4e-02
1.95     	  5.37e-02  	  2.1e-03  	  1.99e-01  	  1.1e-02
2.10     	  3.71e-02  	  9.4e-04  	  1.35e-01  	  5.0e-03
2.30     	  2.15e-02  	  5.9e-04  	  7.69e-02  	  3.5e-03
2.50     	  1.21e-02  	  4.2e-04  	  4.39e-02  	  2.5e-03
2.70     	  7.26e-03  	  2.8e-04  	  2.44e-02  	  1.8e-03
2.90     	  4.17e-03  	  1.9e-04  	  1.54e-02  	  1.4e-03
3.25     	  1.70e-03  	  8.3e-05  	  5.98e-03  	  5.5e-04
3.75     	  5.79e-04  	  4.4e-05  	  2.05e-03  	  3.1e-04
4.25     	  2.21e-04  	  2.7e-05  	  8.96e-04  	  2.2e-04
