!------------------------------------------------------------------
!pT[GeV/c]	  Minimum bias              	  0--5%                    
!------------------------------------------------------------------
0.65     	  6.73e-01  	  2.0e-02  	  2.00e+00  	  6.8e-02 
0.75     	  6.16e-01  	  1.8e-02  	  1.89e+00  	  6.2e-02 
0.85     	  5.28e-01  	  1.5e-02  	  1.67e+00  	  5.4e-02 
0.95     	  4.52e-01  	  1.3e-02  	  1.47e+00  	  4.8e-02 
1.05     	  3.65e-01  	  1.1e-02  	  1.21e+00  	  4.1e-02 
1.15     	  3.19e-01  	  9.7e-03  	  1.10e+00  	  3.9e-02 
1.25     	  2.53e-01  	  7.9e-03  	  8.90e-01  	  3.3e-02 
1.35     	  2.01e-01  	  6.5e-03  	  7.24e-01  	  2.8e-02 
1.45     	  1.66e-01  	  5.6e-03  	  6.12e-01  	  2.5e-02 
1.55     	  1.22e-01  	  4.1e-03  	  4.43e-01  	  1.9e-02 
1.65     	  9.61e-02  	  3.4e-03  	  3.46e-01  	  1.6e-02 
1.75     	  7.19e-02  	  2.7e-03  	  2.70e-01  	  1.3e-02 
1.85     	  5.57e-02  	  2.1e-03  	  2.07e-01  	  1.1e-02 
1.95     	  4.04e-02  	  1.7e-03  	  1.53e-01  	  9.2e-03 
2.10     	  2.61e-02  	  7.3e-04  	  9.75e-02  	  4.2e-03 
2.30     	  1.54e-02  	  4.8e-04  	  5.99e-02  	  3.1e-03 
2.50     	  8.66e-03  	  3.4e-04  	  3.16e-02  	  2.2e-03 
2.70     	  4.79e-03  	  2.2e-04  	  1.79e-02  	  1.6e-03 
2.90     	  2.91e-03  	  1.6e-04  	  1.04e-02  	  1.2e-03 
3.25     	  1.16e-03  	  6.7e-05  	  4.14e-03  	  4.7e-04 
3.75     	  3.71e-04  	  3.5e-05  	  1.29e-03  	  2.5e-04 
4.25     	  1.35e-04  	  2.1e-05  	  5.44e-04  	  1.7e-04 
