!-----------------------------------------------------------------
!pT[GeV/c]	  Minimum bias              	  0--5%                   
!-----------------------------------------------------------------
0.25     	  1.07e+02  	  8.8e-01  	  3.29e+02  	  2.7e+00
0.35     	  6.06e+01  	  5.0e-01  	  1.97e+02  	  1.6e+00
0.45     	  3.63e+01  	  3.1e-01  	  1.20e+02  	  1.1e+00
0.55     	  2.18e+01  	  2.0e-01  	  7.26e+01  	  6.7e-01
0.65     	  1.34e+01  	  1.3e-01  	  4.49e+01  	  4.5e-01
0.75     	  8.71e+00  	  9.5e-02  	  2.93e+01  	  3.3e-01
0.85     	  5.41e+00  	  6.3e-02  	  1.82e+01  	  2.2e-01
0.95     	  3.59e+00  	  4.5e-02  	  1.21e+01  	  1.6e-01
1.05     	  2.35e+00  	  3.1e-02  	  7.96e+00  	  1.1e-01
1.15     	  1.58e+00  	  2.2e-02  	  5.32e+00  	  8.0e-02
1.25     	  1.05e+00  	  1.5e-02  	  3.55e+00  	  5.7e-02
1.35     	  7.59e-01  	  1.2e-02  	  2.55e+00  	  4.5e-02
1.45     	  5.16e-01  	  8.3e-03  	  1.72e+00  	  3.3e-02
1.55     	  3.37e-01  	  5.6e-03  	  1.13e+00  	  2.3e-02
1.65     	  2.44e-01  	  4.2e-03  	  8.05e-01  	  1.8e-02
1.75     	  1.77e-01  	  3.3e-03  	  5.70e-01  	  1.4e-02
1.85     	  1.27e-01  	  2.4e-03  	  4.18e-01  	  1.2e-02
1.95     	  9.01e-02  	  1.9e-03  	  2.80e-01  	  9.0e-03
2.05     	  6.68e-02  	  1.2e-03  	  2.09e-01  	  6.1e-03
2.15     	  4.71e-02  	  8.9e-04  	  1.36e-01  	  4.8e-03
2.25     	  3.27e-02  	  6.8e-04  	  9.10e-02  	  3.8e-03
2.35     	  2.60e-02  	  6.2e-04  	  7.20e-02  	  3.6e-03
2.45     	  1.94e-02  	  5.3e-04  	  5.40e-02  	  3.2e-03
2.55     	  1.49e-02  	  4.7e-04  	  3.78e-02  	  2.8e-03
2.65     	  1.13e-02  	  4.2e-04  	  2.65e-02  	  2.5e-03
2.75     	  9.30e-03  	  4.0e-04  	  2.27e-02  	  2.5e-03
2.85     	  6.20e-03  	  3.2e-04  	  1.28e-02  	  1.9e-03
2.95     	  5.17e-03  	  3.1e-04  	  1.03e-02  	  1.8e-03
