!------------------------------------------------------------------
!pT[GeV/c]	  Minimum bias              	  0--5%                    
!------------------------------------------------------------------
0.25     	  1.02e+02  	  7.9e-01  	  3.15e+02  	  2.4e+00 
0.35     	  5.92e+01  	  4.6e-01  	  1.94e+02  	  1.5e+00 
0.45     	  3.56e+01  	  2.9e-01  	  1.19e+02  	  9.8e-01 
0.55     	  2.18e+01  	  1.9e-01  	  7.37e+01  	  6.5e-01 
0.65     	  1.34e+01  	  1.2e-01  	  4.57e+01  	  4.3e-01 
0.75     	  8.36e+00  	  8.2e-02  	  2.86e+01  	  2.9e-01 
0.85     	  5.44e+00  	  5.7e-02  	  1.86e+01  	  2.0e-01 
0.95     	  3.58e+00  	  4.1e-02  	  1.22e+01  	  1.4e-01 
1.05     	  2.35e+00  	  2.8e-02  	  8.02e+00  	  1.0e-01 
1.15     	  1.62e+00  	  2.1e-02  	  5.55e+00  	  7.7e-02 
1.25     	  1.04e+00  	  1.4e-02  	  3.53e+00  	  5.2e-02 
1.35     	  7.54e-01  	  1.1e-02  	  2.55e+00  	  4.1e-02 
1.45     	  5.07e-01  	  7.6e-03  	  1.71e+00  	  3.0e-02 
1.55     	  3.61e-01  	  5.7e-03  	  1.20e+00  	  2.3e-02 
1.65     	  2.46e-01  	  4.0e-03  	  8.02e-01  	  1.7e-02 
1.75     	  1.73e-01  	  3.0e-03  	  5.65e-01  	  1.3e-02 
1.85     	  1.25e-01  	  2.3e-03  	  4.05e-01  	  1.1e-02 
1.95     	  8.97e-02  	  1.8e-03  	  2.85e-01  	  8.8e-03 
2.05     	  6.10e-02  	  1.1e-03  	  1.89e-01  	  5.8e-03 
2.15     	  4.43e-02  	  8.7e-04  	  1.32e-01  	  4.8e-03 
2.25     	  3.20e-02  	  7.0e-04  	  9.24e-02  	  4.0e-03 
2.35     	  2.52e-02  	  6.3e-04  	  7.07e-02  	  3.7e-03 
2.45     	  1.79e-02  	  5.1e-04  	  4.71e-02  	  3.0e-03 
2.55     	  1.41e-02  	  4.8e-04  	  3.50e-02  	  2.8e-03 
2.65     	  1.06e-02  	  4.1e-04  	  2.69e-02  	  2.5e-03 
2.75     	  8.05e-03  	  3.7e-04  	  1.99e-02  	  2.3e-03 
2.85     	  6.45e-03  	  3.5e-04  	  1.45e-02  	  2.1e-03 
2.95     	  4.95e-03  	  3.2e-04  	  1.08e-02  	  1.9e-03 
