# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0214215 -----------------
#dely    BF    dB     BFVar
0.050 -0.0582 -0.0000  0.0023
0.150 -0.0538 -0.0000  0.0025
0.250 -0.0468 -0.0000  0.0022
0.350 -0.0384 -0.0000  0.0024
0.450 -0.0285 -0.0000  0.0029
0.550 -0.0204 -0.0000  0.0015
0.650 -0.0132 -0.0000  0.0016
0.750 -0.0066 -0.0000  0.0020
0.850 -0.0006 -0.0000  0.0016
0.950  0.0023  0.0000  0.0015
1.050  0.0050  0.0000  0.0013
1.150  0.0073  0.0000  0.0007
1.250  0.0081  0.0000  0.0010
1.350  0.0086  0.0000  0.0005
1.450  0.0079  0.0000  0.0006
1.550  0.0067  0.0000  0.0005
1.650  0.0047  0.0000  0.0003
1.750  0.0018  0.0000  0.0003
