# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0193631 -----------------
#dely    BF    dB     BFVar
0.050  0.0371  0.0002  0.0020
0.150  0.0349  0.0002  0.0017
0.250  0.0276  0.0002  0.0020
0.350  0.0263  0.0002  0.0023
0.450  0.0203  0.0002  0.0015
0.550  0.0157  0.0001  0.0025
0.650  0.0109  0.0001  0.0013
0.750  0.0084  0.0001  0.0019
0.850  0.0052  0.0001  0.0008
0.950  0.0041  0.0001  0.0010
1.050  0.0018  0.0000  0.0012
1.150  0.0007  0.0000  0.0012
1.250  0.0003  0.0000  0.0003
1.350  0.0000  0.0000  0.0003
1.450  0.0001  0.0000  0.0006
1.550  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
