0.050   0.025   0.072  -0.008  -0.001 
0.150   0.005   0.048   0.002   0.007 
0.250   0.014   0.049  -0.001   0.005 
0.350   0.001   0.036  -0.009  -0.001 
0.450  -0.004   0.040   0.000  -0.007 
0.550  -0.007   0.014  -0.005  -0.007 
0.650  -0.010   0.009   0.001  -0.005 
0.750  -0.017  -0.007   0.007   0.002 
0.850  -0.011  -0.006  -0.010  -0.006 
0.950   0.004  -0.028   0.001   0.001 
1.050  -0.008  -0.046   0.000  -0.004 
1.150  -0.005  -0.041   0.010   0.001 
1.250  -0.000  -0.047   0.004  -0.005 
1.350  -0.020  -0.046  -0.004   0.002 
1.450  -0.010  -0.045  -0.002   0.002 
1.550  -0.009  -0.045  -0.004  -0.001 
1.650  -0.004  -0.058  -0.005   0.002 
1.750  -0.015  -0.062   0.004   0.006 
1.850  -0.012  -0.052   0.005   0.007 
1.950   0.004  -0.055   0.005   0.002 
2.050   0.002  -0.045  -0.007  -0.011 
2.150   0.032  -0.045   0.001  -0.010 
2.250   0.024  -0.026  -0.005  -0.011 
2.350   0.018  -0.014  -0.001  -0.022 
2.450  -0.010   0.001   0.005  -0.017 
2.550   0.014   0.002  -0.007  -0.002 
2.650   0.003   0.035   0.008   0.005 
2.750  -0.026   0.032  -0.005   0.007 
2.850  -0.023   0.105   0.009   0.005 
2.950  -0.059   0.068  -0.006   0.012 
3.050   0.032   0.148  -0.000   0.032 
3.150   0.106   0.168   0.001   0.020 
3.250  -0.033   0.193  -0.022   0.022 
3.350  -0.032   0.172   0.037   0.015 
3.450   0.280   0.082   0.011   0.028 
