InvCoshPar_uu_width InvCoshPar_ud_width InvCoshPar_us_width InvCoshPar_ss_width 
 0.721237 0.758752 0.953601 0.922627
 0.674327 0.92614 0.892472 1.07423
 0.779567 0.186301 1.17354 0.895738
 0.944008 0.304839 1.18051 1.04607
 0.591829 0.569962 0.689073 1.04605
 0.752476 0.515787 1.10267 0.837889
 0.630565 1.04698 0.995802 0.898775
 0.667674 0.533598 0.798218 0.999035
 0.57867 1.27844 0.975554 0.92116
 0.729408 0.324346 0.962154 0.891938
 0.605497 0.92936 0.941407 0.919133
 0.64109 0.777589 0.946178 1.0151
 0.761283 0.285916 0.884919 0.841477
 0.555549 1.22083 1.08477 0.847274
 0.627435 1.13339 1.03681 0.83073
 0.762954 0.137766 0.963633 0.935319
 0.92583 0.317419 1.11599 1.05982
 0.56721 1.23014 1.00642 1.00566
 0.779339 0.397566 1.07759 0.925423
 0.932212 0.18101 1.20091 0.985208
