# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=1
# ------- normalization=0.0635292 -----------------
#dely    BF
0.050  0.1092  0.0046
0.150  0.0988  0.0043
0.250  0.0861  0.0038
0.350  0.0950  0.0046
0.450  0.0646  0.0036
0.550  0.0515  0.0032
0.650  0.0328  0.0023
0.750  0.0342  0.0026
0.850  0.0252  0.0023
0.950  0.0184  0.0020
1.050  0.0089  0.0011
1.150  0.0061  0.0010
1.250  0.0044  0.0008
1.350 -0.0002 -0.0001
1.450  0.0005  0.0002
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
