# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=1000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.2788 -----------------
#dely    BF
0.050  0.4458  0.0010
0.150  0.4141  0.0010
0.250  0.3681  0.0009
0.350  0.3274  0.0009
0.450  0.2969  0.0008
0.550  0.2484  0.0007
0.650  0.1957  0.0006
0.750  0.1629  0.0005
0.850  0.1181  0.0004
0.950  0.0912  0.0004
1.050  0.0642  0.0003
1.150  0.0340  0.0002
1.250  0.0224  0.0001
1.350  0.0050  0.0000
1.450  0.0009  0.0000
1.550 -0.0013 -0.0000
1.650 -0.0038 -0.0000
1.750 -0.0018 -0.0000
