# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=1
# ------- normalization=-0.00527697 -----------------
#dely    BF
0.050 -0.0232 -0.0013
0.150 -0.0258 -0.0015
0.250 -0.0029 -0.0002
0.350 -0.0124 -0.0009
0.450 -0.0021 -0.0002
0.550 -0.0021 -0.0002
0.650  0.0040  0.0005
0.750 -0.0026 -0.0004
0.850  0.0064  0.0011
0.950  0.0058  0.0011
1.050  0.0018  0.0005
1.150 -0.0014 -0.0006
1.250  0.0007  0.0002
1.350  0.0000  0.0000
1.450  0.0011  0.0011
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
