# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=2.45565e-05 -----------------
#dely    BF
0.050 -0.0082 -0.0002
0.150 -0.0188 -0.0004
0.250 -0.0181 -0.0004
0.350 -0.0002 -0.0000
0.450  0.0034  0.0001
0.550  0.0007  0.0000
0.650  0.0060  0.0002
0.750  0.0110  0.0004
0.850 -0.0024 -0.0001
0.950  0.0088  0.0004
1.050  0.0029  0.0001
1.150  0.0063  0.0003
1.250  0.0056  0.0003
1.350  0.0025  0.0002
1.450  0.0003  0.0000
1.550  0.0006  0.0001
1.650  0.0000  0.0000
1.750  0.0000  0.0000
