# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.120293 -----------------
#dely    BF    dB     BFVar
0.050  0.1198  0.0001  0.0042
0.150  0.1141  0.0001  0.0030
0.250  0.1102  0.0001  0.0037
0.350  0.1086  0.0001  0.0052
0.450  0.1042  0.0001  0.0034
0.550  0.0994  0.0001  0.0027
0.650  0.0956  0.0001  0.0016
0.750  0.0857  0.0001  0.0012
0.850  0.0774  0.0001  0.0009
0.950  0.0685  0.0001  0.0018
1.050  0.0577  0.0001  0.0006
1.150  0.0476  0.0001  0.0010
1.250  0.0375  0.0000  0.0011
1.350  0.0293  0.0000  0.0007
1.450  0.0216  0.0000  0.0004
1.550  0.0146  0.0000  0.0005
1.650  0.0081  0.0000  0.0003
1.750  0.0027  0.0000  0.0002
