# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.263893 -----------------
#dely    BF    dB     BFVar
0.050  0.3399  0.0002  0.0038
0.150  0.3197  0.0002  0.0041
0.250  0.2961  0.0002  0.0040
0.350  0.2748  0.0001  0.0050
0.450  0.2509  0.0001  0.0028
0.550  0.2247  0.0001  0.0038
0.650  0.1982  0.0001  0.0023
0.750  0.1710  0.0001  0.0016
0.850  0.1440  0.0001  0.0015
0.950  0.1178  0.0001  0.0017
1.050  0.0941  0.0001  0.0017
1.150  0.0718  0.0001  0.0018
1.250  0.0524  0.0001  0.0014
1.350  0.0373  0.0001  0.0007
1.450  0.0240  0.0000  0.0006
1.550  0.0139  0.0000  0.0004
1.650  0.0066  0.0000  0.0003
1.750  0.0018  0.0000  0.0001
