# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.309303 -----------------
#dely    BF    dB     BFVar
0.050  0.4015  0.0002  0.0028
0.150  0.3750  0.0002  0.0029
0.250  0.3478  0.0002  0.0023
0.350  0.3174  0.0002  0.0040
0.450  0.2873  0.0002  0.0035
0.550  0.2556  0.0002  0.0026
0.650  0.2238  0.0002  0.0031
0.750  0.1934  0.0002  0.0029
0.850  0.1638  0.0001  0.0019
0.950  0.1376  0.0001  0.0026
1.050  0.1120  0.0001  0.0021
1.150  0.0880  0.0001  0.0015
1.250  0.0672  0.0001  0.0021
1.350  0.0508  0.0001  0.0018
1.450  0.0344  0.0001  0.0014
1.550  0.0221  0.0000  0.0004
1.650  0.0118  0.0000  0.0004
1.750  0.0035  0.0000  0.0002
