! ptbar_pion= 0.4264  ptbar_kaon= 0.6957  ptbar_proton= 1.0374
!   mt      pions       kaons      protons
0.0125  8.604e+02  3.704e+01  4.644e+00
0.0375  7.046e+02  3.494e+01  4.476e+00
0.0625  5.820e+02  3.289e+01  4.376e+00
0.0875  4.850e+02  3.036e+01  4.299e+00
0.1125  4.072e+02  2.833e+01  4.143e+00
0.1375  3.421e+02  2.630e+01  4.043e+00
0.1625  2.877e+02  2.410e+01  3.869e+00
0.1875  2.458e+02  2.218e+01  3.773e+00
0.2125  2.101e+02  2.029e+01  3.557e+00
0.2375  1.793e+02  1.880e+01  3.439e+00
0.2625  1.545e+02  1.695e+01  3.232e+00
0.2875  1.345e+02  1.551e+01  3.064e+00
0.3125  1.169e+02  1.437e+01  2.951e+00
0.3375  1.021e+02  1.321e+01  2.781e+00
0.3625  8.889e+01  1.195e+01  2.745e+00
0.3875  7.784e+01  1.088e+01  2.577e+00
0.4125  6.839e+01  9.923e+00  2.409e+00
0.4375  6.051e+01  9.027e+00  2.290e+00
0.4625  5.303e+01  8.202e+00  2.164e+00
0.4875  4.718e+01  7.378e+00  2.028e+00
0.5125  4.182e+01  6.859e+00  1.878e+00
0.5375  3.691e+01  6.092e+00  1.744e+00
0.5625  3.311e+01  5.709e+00  1.735e+00
0.5875  2.940e+01  5.225e+00  1.638e+00
0.6125  2.621e+01  4.818e+00  1.522e+00
0.6375  2.358e+01  4.301e+00  1.406e+00
0.6625  2.102e+01  3.990e+00  1.307e+00
0.6875  1.891e+01  3.649e+00  1.269e+00
0.7125  1.720e+01  3.303e+00  1.154e+00
0.7375  1.531e+01  2.967e+00  1.092e+00
0.7625  1.370e+01  2.788e+00  1.020e+00
0.7875  1.243e+01  2.537e+00  9.328e-01
0.8125  1.113e+01  2.314e+00  8.793e-01
0.8375  1.000e+01  2.133e+00  7.959e-01
0.8625  9.123e+00  1.892e+00  7.393e-01
0.8875  8.256e+00  1.720e+00  7.180e-01
0.9125  7.573e+00  1.638e+00  6.469e-01
0.9375  6.854e+00  1.486e+00  6.274e-01
0.9625  6.082e+00  1.370e+00  5.610e-01
0.9875  5.642e+00  1.275e+00  5.359e-01
1.0125  5.120e+00  1.135e+00  5.012e-01
1.0375  4.535e+00  1.042e+00  4.522e-01
1.0625  4.223e+00  9.773e-01  4.448e-01
1.0875  3.891e+00  8.745e-01  4.077e-01
1.1125  3.532e+00  7.780e-01  3.629e-01
1.1375  3.129e+00  7.235e-01  3.380e-01
1.1625  2.947e+00  6.897e-01  3.227e-01
1.1875  2.645e+00  6.342e-01  2.984e-01
1.2125  2.452e+00  5.852e-01  2.744e-01
1.2375  2.240e+00  5.351e-01  2.448e-01
1.2625  2.021e+00  4.953e-01  2.344e-01
1.2875  1.826e+00  4.501e-01  2.295e-01
1.3125  1.713e+00  4.157e-01  2.100e-01
1.3375  1.536e+00  3.835e-01  1.818e-01
1.3625  1.396e+00  3.489e-01  1.816e-01
1.3875  1.308e+00  3.210e-01  1.618e-01
1.4125  1.209e+00  3.140e-01  1.578e-01
1.4375  1.107e+00  2.620e-01  1.457e-01
1.4625  1.019e+00  2.548e-01  1.351e-01
1.4875  9.257e-01  2.378e-01  1.309e-01
1.5125  8.858e-01  2.147e-01  1.074e-01
1.5375  7.671e-01  1.982e-01  9.895e-02
1.5625  7.362e-01  1.830e-01  9.796e-02
1.5875  6.565e-01  1.671e-01  9.805e-02
1.6125  5.752e-01  1.618e-01  8.225e-02
1.6375  5.675e-01  1.480e-01  7.799e-02
1.6625  4.756e-01  1.372e-01  7.639e-02
1.6875  4.684e-01  1.231e-01  6.633e-02
1.7125  4.153e-01  1.225e-01  6.453e-02
1.7375  4.094e-01  1.124e-01  6.010e-02
1.7625  3.622e-01  9.653e-02  5.805e-02
1.7875  3.464e-01  8.942e-02  4.706e-02
1.8125  3.103e-01  8.266e-02  4.955e-02
1.8375  3.091e-01  8.445e-02  4.076e-02
1.8625  2.714e-01  7.656e-02  4.103e-02
1.8875  2.353e-01  7.033e-02  3.720e-02
1.9125  2.333e-01  6.367e-02  3.813e-02
1.9375  2.102e-01  6.009e-02  3.284e-02
1.9625  1.958e-01  5.095e-02  3.179e-02
1.9875  1.999e-01  4.936e-02  2.634e-02
2.0125  1.700e-01  4.336e-02  2.808e-02
2.0375  1.470e-01  4.153e-02  2.215e-02
2.0625  1.497e-01  3.990e-02  2.568e-02
2.0875  1.272e-01  3.900e-02  2.297e-02
2.1125  1.319e-01  3.196e-02  2.161e-02
2.1375  1.252e-01  3.199e-02  1.781e-02
2.1625  1.091e-01  2.549e-02  1.796e-02
2.1875  9.392e-02  2.841e-02  1.653e-02
2.2125  8.964e-02  2.452e-02  1.612e-02
2.2375  8.720e-02  2.560e-02  1.206e-02
2.2625  8.431e-02  2.117e-02  1.225e-02
2.2875  6.950e-02  2.066e-02  1.326e-02
2.3125  6.782e-02  2.016e-02  1.069e-02
2.3375  5.563e-02  1.841e-02  9.926e-03
2.3625  5.341e-02  1.700e-02  9.716e-03
2.3875  5.523e-02  1.639e-02  9.777e-03
2.4125  4.910e-02  1.533e-02  7.843e-03
2.4375  4.817e-02  1.246e-02  7.917e-03
2.4625  4.268e-02  1.190e-02  7.073e-03
2.4875  3.685e-02  1.106e-02  6.891e-03
2.5125  3.382e-02  9.630e-03  5.421e-03
2.5375  3.794e-02  1.073e-02  3.845e-03
2.5625  3.451e-02  7.287e-03  4.835e-03
2.5875  2.897e-02  1.012e-02  5.559e-03
2.6125  2.784e-02  8.030e-03  5.896e-03
2.6375  2.609e-02  7.823e-03  3.737e-03
2.6625  2.331e-02  7.056e-03  4.330e-03
2.6875  2.353e-02  6.160e-03  4.054e-03
2.7125  1.978e-02  7.363e-03  3.782e-03
2.7375  1.961e-02  7.443e-03  3.514e-03
2.7625  1.760e-02  4.240e-03  2.287e-03
2.7875  1.623e-02  4.887e-03  3.706e-03
2.8125  1.589e-02  3.907e-03  3.088e-03
2.8375  1.476e-02  4.412e-03  1.770e-03
2.8625  1.147e-02  3.981e-03  1.524e-03
2.8875  1.099e-02  3.952e-03  2.329e-03
2.9125  9.340e-03  3.661e-03  2.082e-03
2.9375  1.197e-02  3.505e-03  2.413e-03
2.9625  7.467e-03  2.835e-03  1.599e-03
2.9875  9.686e-03  2.943e-03  1.362e-03
3.0125  8.290e-03  2.414e-03  1.466e-03
3.0375  7.664e-03  2.649e-03  1.008e-03
3.0625  7.605e-03  3.507e-03  1.002e-03
3.0875  7.178e-03  1.368e-03  3.319e-04
3.1125  3.835e-03  1.482e-03  1.320e-03
3.1375  5.981e-03  1.595e-03  1.311e-03
3.1625  6.835e-03  1.340e-03  1.521e-03
3.1875  4.463e-03  1.694e-03  8.637e-04
3.2125  5.315e-03  1.322e-03  8.585e-04
3.2375  5.276e-03  1.432e-03  9.600e-04
3.2625  4.015e-03  1.186e-03  8.483e-04
3.2875  5.546e-03  8.246e-04  9.487e-04
3.3125  4.817e-03  7.021e-04  9.431e-04
3.3375  3.929e-03  1.046e-03  4.167e-04
3.3625  2.205e-03  2.310e-04  5.179e-04
3.3875  3.031e-03  1.492e-03  5.149e-04
3.4125  1.839e-03  1.254e-03  6.143e-04
3.4375  1.826e-03  6.798e-04  6.108e-04
3.4625  3.462e-03  9.007e-04  7.085e-04
3.4875  2.620e-03  6.713e-04  7.045e-04
3.5125  1.138e-03  1.001e-03  3.002e-04
3.5375  1.938e-03  5.524e-04  3.981e-04
3.5625  1.444e-03  5.490e-04  3.959e-04
3.5875  1.912e-03  3.274e-04  5.905e-04
3.6125  9.497e-04  3.254e-04  9.788e-05
3.6375  1.887e-03  2.156e-04  4.867e-04
3.6625  1.562e-03  1.072e-04  9.682e-05
3.6875  1.552e-03  7.457e-04  1.926e-04
3.7125  4.625e-04  7.412e-04  9.578e-05
3.7375  4.596e-04  0.000e+00  1.905e-04
3.7625  1.065e-03  2.093e-04  3.790e-04
3.7875  4.537e-04  1.040e-04  1.885e-04
3.8125  1.202e-03  3.103e-04  1.875e-04
3.8375  5.973e-04  5.142e-04  2.798e-04
3.8625  4.452e-04  2.045e-04  9.278e-05
3.8875  7.374e-04  4.067e-04  0.000e+00
3.9125  1.466e-04  1.011e-04  3.673e-04
3.9375  2.913e-04  2.010e-04  2.741e-04
3.9625  5.791e-04  9.995e-05  0.000e+00
3.9875  8.634e-04  9.939e-05  9.043e-05
