! ptbar_pion= 0.3168  ptbar_kaon= 0.5209  ptbar_proton= 0.7113
!   mt      pions       kaons      protons
0.0125  1.544e+03  4.197e+01  1.567e+01
0.0375  1.218e+03  3.988e+01  1.495e+01
0.0625  9.732e+02  3.751e+01  1.435e+01
0.0875  7.827e+02  3.452e+01  1.349e+01
0.1125  6.346e+02  3.164e+01  1.287e+01
0.1375  5.169e+02  2.851e+01  1.199e+01
0.1625  4.246e+02  2.564e+01  1.126e+01
0.1875  3.491e+02  2.273e+01  1.041e+01
0.2125  2.925e+02  2.021e+01  9.570e+00
0.2375  2.418e+02  1.783e+01  8.633e+00
0.2625  2.032e+02  1.571e+01  7.918e+00
0.2875  1.698e+02  1.399e+01  7.268e+00
0.3125  1.432e+02  1.224e+01  6.510e+00
0.3375  1.220e+02  1.060e+01  5.898e+00
0.3625  1.028e+02  9.409e+00  5.325e+00
0.3875  8.747e+01  8.147e+00  4.726e+00
0.4125  7.457e+01  7.067e+00  4.250e+00
0.4375  6.405e+01  6.178e+00  3.819e+00
0.4625  5.511e+01  5.283e+00  3.330e+00
0.4875  4.669e+01  4.612e+00  2.920e+00
0.5125  3.980e+01  4.070e+00  2.610e+00
0.5375  3.413e+01  3.513e+00  2.266e+00
0.5625  2.917e+01  3.068e+00  2.044e+00
0.5875  2.514e+01  2.733e+00  1.751e+00
0.6125  2.152e+01  2.316e+00  1.562e+00
0.6375  1.847e+01  2.017e+00  1.342e+00
0.6625  1.594e+01  1.748e+00  1.218e+00
0.6875  1.356e+01  1.485e+00  1.055e+00
0.7125  1.170e+01  1.279e+00  9.325e-01
0.7375  1.006e+01  1.156e+00  7.913e-01
0.7625  8.781e+00  1.006e+00  6.722e-01
0.7875  7.528e+00  8.424e-01  6.173e-01
0.8125  6.586e+00  7.323e-01  5.205e-01
0.8375  5.569e+00  6.487e-01  4.681e-01
0.8625  4.830e+00  5.608e-01  4.149e-01
0.8875  4.130e+00  4.709e-01  3.600e-01
0.9125  3.547e+00  4.112e-01  3.108e-01
0.9375  3.083e+00  3.654e-01  2.549e-01
0.9625  2.740e+00  3.139e-01  2.353e-01
0.9875  2.369e+00  2.984e-01  1.918e-01
1.0125  1.972e+00  2.286e-01  1.736e-01
1.0375  1.726e+00  2.105e-01  1.492e-01
1.0625  1.539e+00  1.678e-01  1.282e-01
1.0875  1.260e+00  1.682e-01  1.161e-01
1.1125  1.185e+00  1.239e-01  8.408e-02
1.1375  9.874e-01  1.050e-01  8.382e-02
1.1625  8.855e-01  9.305e-02  6.566e-02
1.1875  6.945e-01  9.322e-02  6.612e-02
1.2125  6.683e-01  7.593e-02  5.636e-02
1.2375  5.423e-01  6.578e-02  4.707e-02
1.2625  4.735e-01  5.622e-02  3.870e-02
1.2875  4.042e-01  5.543e-02  3.286e-02
1.3125  3.296e-01  4.657e-02  2.995e-02
1.3375  3.113e-01  3.709e-02  2.457e-02
1.3625  2.718e-01  3.603e-02  2.157e-02
1.3875  2.245e-01  2.805e-02  1.685e-02
1.4125  1.908e-01  2.850e-02  1.400e-02
1.4375  1.922e-01  2.299e-02  1.496e-02
1.4625  1.539e-01  1.469e-02  1.088e-02
1.4875  1.267e-01  1.529e-02  1.379e-02
1.5125  1.101e-01  1.302e-02  1.045e-02
1.5375  1.026e-01  1.235e-02  9.919e-03
1.5625  8.554e-02  1.143e-02  6.477e-03
1.5875  7.785e-02  9.539e-03  7.033e-03
1.6125  5.885e-02  8.433e-03  5.326e-03
1.6375  5.410e-02  8.580e-03  5.477e-03
1.6625  5.451e-02  7.026e-03  5.223e-03
1.6875  4.194e-02  6.706e-03  3.980e-03
1.7125  4.175e-02  4.973e-03  2.562e-03
1.7375  3.080e-02  3.512e-03  9.764e-04
1.7625  2.820e-02  4.168e-03  2.128e-03
1.7875  2.639e-02  3.206e-03  1.534e-03
1.8125  1.927e-02  1.812e-03  1.710e-03
1.8375  1.691e-02  2.017e-03  5.647e-04
1.8625  1.670e-02  2.217e-03  9.328e-04
1.8875  1.718e-02  1.316e-03  5.547e-04
1.9125  1.290e-02  1.303e-03  5.499e-04
1.9375  1.073e-02  1.719e-03  1.272e-03
1.9625  1.027e-02  1.064e-03  1.441e-03
1.9875  9.498e-03  8.422e-04  8.929e-04
2.0125  5.827e-03  4.169e-04  3.541e-04
2.0375  6.720e-03  6.192e-04  3.512e-04
2.0625  5.062e-03  8.175e-04  8.706e-04
2.0875  4.379e-03  8.096e-04  1.727e-04
2.1125  6.187e-03  8.018e-04  3.425e-04
2.1375  2.448e-03  5.957e-04  3.398e-04
2.1625  5.145e-03  1.967e-04  3.370e-04
2.1875  2.395e-03  1.949e-04  0.000e+00
2.2125  2.666e-03  3.861e-04  0.000e+00
2.2375  2.052e-03  3.826e-04  0.000e+00
2.2625  1.740e-03  0.000e+00  3.265e-04
2.2875  1.435e-03  0.000e+00  0.000e+00
2.3125  2.273e-03  3.724e-04  0.000e+00
2.3375  1.406e-03  1.845e-04  1.595e-04
2.3625  1.114e-03  3.658e-04  3.166e-04
2.3875  1.103e-03  1.813e-04  0.000e+00
2.4125  8.189e-04  1.798e-04  0.000e+00
2.4375  0.000e+00  1.782e-04  0.000e+00
2.4625  2.677e-04  1.767e-04  0.000e+00
2.4875  0.000e+00  0.000e+00  0.000e+00
