! ptbar_pion= 0.3778  ptbar_kaon= 0.6461  ptbar_proton= 0.9226
!   mt      pions       kaons      protons
0.0125  1.264e+03  3.020e+01  9.785e+00
0.0375  1.003e+03  2.890e+01  9.505e+00
0.0625  8.110e+02  2.706e+01  9.224e+00
0.0875  6.582e+02  2.546e+01  8.775e+00
0.1125  5.415e+02  2.352e+01  8.573e+00
0.1375  4.500e+02  2.173e+01  8.245e+00
0.1625  3.741e+02  2.005e+01  7.637e+00
0.1875  3.119e+02  1.838e+01  7.445e+00
0.2125  2.644e+02  1.665e+01  7.055e+00
0.2375  2.234e+02  1.541e+01  6.658e+00
0.2625  1.892e+02  1.393e+01  6.301e+00
0.2875  1.616e+02  1.266e+01  5.846e+00
0.3125  1.395e+02  1.131e+01  5.610e+00
0.3375  1.199e+02  1.035e+01  5.152e+00
0.3625  1.036e+02  9.320e+00  4.866e+00
0.3875  8.953e+01  8.544e+00  4.519e+00
0.4125  7.791e+01  7.610e+00  4.252e+00
0.4375  6.749e+01  6.882e+00  3.941e+00
0.4625  5.921e+01  6.108e+00  3.700e+00
0.4875  5.178e+01  5.554e+00  3.416e+00
0.5125  4.573e+01  5.087e+00  3.251e+00
0.5375  3.989e+01  4.522e+00  2.965e+00
0.5625  3.548e+01  4.069e+00  2.689e+00
0.5875  3.127e+01  3.719e+00  2.488e+00
0.6125  2.746e+01  3.330e+00  2.341e+00
0.6375  2.446e+01  3.006e+00  2.132e+00
0.6625  2.171e+01  2.825e+00  2.023e+00
0.6875  1.931e+01  2.464e+00  1.821e+00
0.7125  1.716e+01  2.236e+00  1.706e+00
0.7375  1.503e+01  2.086e+00  1.565e+00
0.7625  1.334e+01  1.828e+00  1.405e+00
0.7875  1.213e+01  1.684e+00  1.319e+00
0.8125  1.081e+01  1.511e+00  1.198e+00
0.8375  9.766e+00  1.397e+00  1.116e+00
0.8625  8.636e+00  1.209e+00  1.040e+00
0.8875  7.729e+00  1.134e+00  9.342e-01
0.9125  6.929e+00  1.015e+00  8.466e-01
0.9375  6.099e+00  9.452e-01  7.872e-01
0.9625  5.541e+00  8.226e-01  7.237e-01
0.9875  5.099e+00  7.636e-01  6.620e-01
1.0125  4.522e+00  6.880e-01  6.176e-01
1.0375  4.044e+00  6.108e-01  5.621e-01
1.0625  3.706e+00  5.525e-01  5.135e-01
1.0875  3.235e+00  5.154e-01  4.881e-01
1.1125  3.055e+00  4.713e-01  4.377e-01
1.1375  2.682e+00  4.233e-01  3.933e-01
1.1625  2.451e+00  4.072e-01  3.756e-01
1.1875  2.191e+00  3.597e-01  3.532e-01
1.2125  1.987e+00  3.218e-01  3.222e-01
1.2375  1.798e+00  2.897e-01  2.945e-01
1.2625  1.621e+00  2.679e-01  2.689e-01
1.2875  1.458e+00  2.599e-01  2.397e-01
1.3125  1.316e+00  2.208e-01  2.209e-01
