# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0187339 -----------------
#dely    BF    dB     BFVar
0.050 -0.0030 -0.0000  0.0027
0.150  0.0007  0.0000  0.0027
0.250  0.0071  0.0000  0.0020
0.350  0.0141  0.0001  0.0022
0.450  0.0165  0.0001  0.0038
0.550  0.0227  0.0001  0.0014
0.650  0.0245  0.0001  0.0013
0.750  0.0243  0.0001  0.0013
0.850  0.0229  0.0001  0.0008
0.950  0.0192  0.0001  0.0008
1.050  0.0153  0.0001  0.0006
1.150  0.0108  0.0001  0.0005
1.250  0.0068  0.0001  0.0006
1.350  0.0036  0.0001  0.0002
1.450  0.0013  0.0000  0.0002
1.550  0.0004  0.0000  0.0001
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
