# ICODE=321, JCODE=-2212
# SIGMA_QGP=1, SIGMA_HAD=0.4
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.18, BARYON_FUDGE=0.666667
# ------- normalization=0.0145743 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.0360  0.0001 -0.0274  0.0544  0.0090
0.150  0.0326  0.0001 -0.0260  0.0506  0.0080
0.250  0.0282  0.0001 -0.0237  0.0448  0.0071
0.350  0.0221  0.0001 -0.0210  0.0371  0.0060
0.450  0.0153  0.0001 -0.0185  0.0294  0.0043
0.550  0.0094  0.0000 -0.0156  0.0224  0.0026
0.650  0.0051  0.0000 -0.0130  0.0164  0.0016
0.750  0.0019  0.0000 -0.0101  0.0110  0.0011
0.850 -0.0000 -0.0000 -0.0077  0.0071  0.0006
0.950 -0.0011 -0.0000 -0.0055  0.0041  0.0003
1.050 -0.0013 -0.0000 -0.0037  0.0022  0.0001
1.150 -0.0011 -0.0000 -0.0022  0.0010  0.0000
1.250 -0.0008 -0.0000 -0.0011  0.0004  0.0000
1.350 -0.0004 -0.0000 -0.0005  0.0001  0.0000
1.450 -0.0001 -0.0000 -0.0001  0.0000  0.0000
1.550 -0.0000 -0.0000 -0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000  0.0000  0.0000
