# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0729327 -----------------
#dely    BF
0.050 -0.4068 -0.0039
0.150 -0.4318 -0.0043
0.250 -0.3500 -0.0036
0.350 -0.2855 -0.0031
0.450 -0.1300 -0.0015
0.550 -0.0658 -0.0008
0.650 -0.0252 -0.0003
0.750  0.0614  0.0008
0.850  0.0576  0.0009
0.950  0.0949  0.0015
1.050  0.1764  0.0031
1.150  0.1888  0.0037
1.250  0.1039  0.0024
1.350  0.1297  0.0035
1.450  0.0732  0.0023
1.550  0.0466  0.0019
1.650  0.0289  0.0020
1.750  0.0042  0.0010
