# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0 -----------------
#dely    BF_mean   BF_sq    BF_var    Samples
0.750   0.1365  0.0186  0.0033 14000000
0.850   0.1136  0.0129  0.0028 14000000
0.950   0.0871  0.0076  0.0023 14000000
1.050   0.0631  0.0040  0.0014 14000000
1.150   0.0444  0.0020  0.0020 14000000
1.250   0.0313  0.0010  0.0009 14000000
1.350   0.0187  0.0003  0.0008 14000000
1.450   0.0108  0.0001  0.0008 14000000
1.550   0.0051  0.0000  0.0005 14000000
1.650   0.0011  0.0000  0.0002 14000000
1.750   0.0001  0.0000  0.0000 14000000
0.050   0.3245  0.1053  0.0033 16000000
0.150   0.3012  0.0907  0.0034 16000000
0.250   0.2770  0.0767  0.0038 16000000
0.350   0.2505  0.0628  0.0025 16000000
0.450   0.2250  0.0506  0.0027 16000000
0.550   0.1927  0.0371  0.0029 16000000
0.650   0.1668  0.0278  0.0036 16000000
0.750   0.1367  0.0187  0.0031 16000000
0.850   0.1134  0.0129  0.0027 16000000
0.950   0.0870  0.0076  0.0022 16000000
1.050   0.0631  0.0040  0.0013 16000000
1.150   0.0444  0.0020  0.0018 16000000
1.250   0.0313  0.0010  0.0008 16000000
1.350   0.0187  0.0004  0.0008 16000000
1.450   0.0109  0.0001  0.0007 16000000
1.550   0.0051  0.0000  0.0004 16000000
1.650   0.0011  0.0000  0.0002 16000000
1.750   0.0001  0.0000  0.0000 16000000
0.050   0.3244  0.1052  0.0031 18000000
0.150   0.3013  0.0908  0.0032 18000000
0.250   0.2773  0.0769  0.0037 18000000
0.350   0.2505  0.0628  0.0024 18000000
0.450   0.2249  0.0506  0.0025 18000000
0.550   0.1927  0.0372  0.0027 18000000
0.650   0.1667  0.0278  0.0034 18000000
0.750   0.1369  0.0187  0.0030 18000000
0.850   0.1133  0.0128  0.0026 18000000
0.950   0.0870  0.0076  0.0020 18000000
1.050   0.0632  0.0040  0.0013 18000000
1.150   0.0445  0.0020  0.0017 18000000
1.250   0.0313  0.0010  0.0008 18000000
1.350   0.0188  0.0004  0.0008 18000000
1.450   0.0109  0.0001  0.0007 18000000
1.550   0.0051  0.0000  0.0004 18000000
1.650   0.0011  0.0000  0.0002 18000000
1.750   0.0001  0.0000  0.0000 18000000
0.050   0.3242  0.1051  0.0030 20000000
0.150   0.3014  0.0909  0.0030 20000000
0.250   0.2775  0.0770  0.0035 20000000
0.350   0.2505  0.0627  0.0023 20000000
0.450   0.2249  0.0506  0.0024 20000000
0.550   0.1928  0.0372  0.0026 20000000
0.650   0.1666  0.0278  0.0032 20000000
0.750   0.1370  0.0188  0.0028 20000000
0.850   0.1131  0.0128  0.0025 20000000
0.950   0.0869  0.0076  0.0019 20000000
1.050   0.0632  0.0040  0.0012 20000000
1.150   0.0446  0.0020  0.0017 20000000
1.250   0.0313  0.0010  0.0008 20000000
1.350   0.0188  0.0004  0.0008 20000000
1.450   0.0109  0.0001  0.0007 20000000
1.550   0.0051  0.0000  0.0004 20000000
1.650   0.0011  0.0000  0.0002 20000000
1.750   0.0001  0.0000  0.0000 20000000
