# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.250237 -----------------
#dely    BF    dB     BFVar
0.050  0.4160  0.0002  0.0046
0.150  0.3838  0.0002  0.0029
0.250  0.3436  0.0002  0.0060
0.350  0.3023  0.0002  0.0025
0.450  0.2552  0.0002  0.0039
0.550  0.2104  0.0001  0.0022
0.650  0.1683  0.0001  0.0028
0.750  0.1307  0.0001  0.0025
0.850  0.0986  0.0001  0.0025
0.950  0.0714  0.0001  0.0013
1.050  0.0486  0.0001  0.0014
1.150  0.0325  0.0000  0.0010
1.250  0.0202  0.0000  0.0020
1.350  0.0118  0.0000  0.0004
1.450  0.0059  0.0000  0.0004
1.550  0.0025  0.0000  0.0001
1.650  0.0004  0.0000  0.0001
1.750  0.0000  0.0000  0.0000
