# ICODE=211, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-1.44812e-05 -----------------
#dely    BF
0.050 -0.0144 -0.0005
0.150  0.0283  0.0010
0.250  0.0180  0.0007
0.350 -0.0049 -0.0002
0.450 -0.0321 -0.0014
0.550 -0.0041 -0.0002
0.650  0.0048  0.0002
0.750  0.0133  0.0008
0.850  0.0092  0.0006
0.950 -0.0060 -0.0005
1.050 -0.0044 -0.0004
1.150 -0.0130 -0.0013
1.250 -0.0062 -0.0009
1.350  0.0123  0.0019
1.450 -0.0011 -0.0003
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
