# ICODE=2212, JCODE=-2212
# SIGMA_QGP=1, SIGMA_HAD=0.4
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.1, BARYON_FUDGE=0.666667
# ------- normalization=0.104019 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.1894  0.0009  0.0885  0.1008  0.0000
0.150  0.1770  0.0008  0.0845  0.0924  0.0000
0.250  0.1563  0.0008  0.0772  0.0791  0.0000
0.350  0.1327  0.0007  0.0668  0.0659  0.0000
0.450  0.1091  0.0007  0.0587  0.0504  0.0000
0.550  0.0854  0.0006  0.0483  0.0371  0.0000
0.650  0.0654  0.0005  0.0398  0.0256  0.0000
0.750  0.0472  0.0005  0.0302  0.0170  0.0000
0.850  0.0332  0.0004  0.0235  0.0098  0.0000
0.950  0.0213  0.0003  0.0158  0.0054  0.0000
1.050  0.0125  0.0002  0.0096  0.0029  0.0000
1.150  0.0065  0.0002  0.0054  0.0011  0.0000
1.250  0.0030  0.0001  0.0027  0.0004  0.0000
1.350  0.0009  0.0001  0.0009  0.0001  0.0000
1.450  0.0002  0.0000  0.0002  0.0000  0.0000
1.550  0.0000  0.0000  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000  0.0000  0.0000
