# ICODE=321, JCODE=-2112
# SIGMA_QGP=1, SIGMA_HAD=0.25
# NSAMPLE=1000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.8, QUARK_ENTROPY_RATIO=0.175, BARYON_FUDGE=0.65
# ------- normalization=-0.00841064 -----------------
#dely    BF      QGP    LOCAL  RES_DECAYS
0.050  0.0774 -0.0765  0.1390  0.0149
0.150  0.0789 -0.0715  0.1384  0.0119
0.250  0.0575 -0.0748  0.1221  0.0103
0.350  0.0470 -0.0740  0.1132  0.0078
0.450  0.0237 -0.0714  0.0871  0.0080
0.550  0.0180 -0.0589  0.0721  0.0048
0.650 -0.0028 -0.0598  0.0530  0.0040
0.750 -0.0181 -0.0618  0.0401  0.0035
0.850 -0.0272 -0.0572  0.0277  0.0023
0.950 -0.0240 -0.0454  0.0195  0.0019
1.050 -0.0312 -0.0460  0.0137  0.0011
1.150 -0.0346 -0.0428  0.0076  0.0006
1.250 -0.0329 -0.0400  0.0067  0.0004
1.350 -0.0294 -0.0335  0.0038  0.0003
1.450 -0.0255 -0.0275  0.0020  0.0000
1.550 -0.0245 -0.0258  0.0013  0.0000
1.650 -0.0223 -0.0231  0.0009  0.0000
1.750 -0.0193 -0.0196  0.0003  0.0000
1.850 -0.0170 -0.0171  0.0000  0.0000
1.950 -0.0132 -0.0134  0.0002  0.0000
2.050 -0.0124 -0.0125  0.0001  0.0000
2.150 -0.0095 -0.0096  0.0001  0.0000
2.250 -0.0097 -0.0097  0.0000  0.0000
2.350 -0.0079 -0.0079  0.0000  0.0000
2.450 -0.0057 -0.0057  0.0000  0.0000
2.550 -0.0055 -0.0055  0.0000  0.0000
2.650 -0.0030 -0.0030  0.0000  0.0000
2.750 -0.0022 -0.0022  0.0000  0.0000
2.850 -0.0019 -0.0019  0.0000  0.0000
2.950 -0.0018 -0.0018  0.0000  0.0000
3.050 -0.0018 -0.0018  0.0000  0.0000
3.150 -0.0011 -0.0011  0.0000  0.0000
3.250 -0.0002 -0.0002  0.0000  0.0000
3.350 -0.0004 -0.0004  0.0000  0.0000
3.450 -0.0007 -0.0007  0.0000  0.0000
3.550 -0.0001 -0.0001  0.0000  0.0000
3.650 -0.0000 -0.0000  0.0000  0.0000
3.750 -0.0001 -0.0001  0.0000  0.0000
3.850 -0.0000 -0.0000  0.0000  0.0000
3.950  0.0000  0.0000  0.0000  0.0000
4.050 -0.0001 -0.0001  0.0000  0.0000
4.150 -0.0001 -0.0001  0.0000  0.0000
4.250 -0.0001 -0.0001  0.0000  0.0000
4.350  0.0000  0.0000  0.0000  0.0000
4.450 -0.0001 -0.0001  0.0000  0.0000
4.550  0.0000  0.0000  0.0000  0.0000
4.650 -0.0001 -0.0001  0.0000  0.0000
4.750  0.0000  0.0000  0.0000  0.0000
4.850  0.0000  0.0000  0.0000  0.0000
4.950  0.0000  0.0000  0.0000  0.0000
5.050  0.0000  0.0000  0.0000  0.0000
5.150  0.0000  0.0000  0.0000  0.0000
5.250  0.0000  0.0000  0.0000  0.0000
5.350  0.0000  0.0000  0.0000  0.0000
5.450  0.0000  0.0000  0.0000  0.0000
5.550  0.0000  0.0000  0.0000  0.0000
5.650  0.0000  0.0000  0.0000  0.0000
5.750  0.0000  0.0000  0.0000  0.0000
5.850  0.0000  0.0000  0.0000  0.0000
5.950  0.0000  0.0000  0.0000  0.0000
6.050  0.0000  0.0000  0.0000  0.0000
6.150  0.0000  0.0000  0.0000  0.0000
6.250  0.0000  0.0000  0.0000  0.0000
6.350  0.0000  0.0000  0.0000  0.0000
6.450  0.0000  0.0000  0.0000  0.0000
6.550  0.0000  0.0000  0.0000  0.0000
6.650  0.0000  0.0000  0.0000  0.0000
6.750  0.0000  0.0000  0.0000  0.0000
6.850  0.0000  0.0000  0.0000  0.0000
6.950  0.0000  0.0000  0.0000  0.0000
7.050  0.0000  0.0000  0.0000  0.0000
7.150  0.0000  0.0000  0.0000  0.0000
7.250  0.0000  0.0000  0.0000  0.0000
7.350  0.0000  0.0000  0.0000  0.0000
7.450  0.0000  0.0000  0.0000  0.0000
7.550  0.0000  0.0000  0.0000  0.0000
7.650  0.0000  0.0000  0.0000  0.0000
7.750  0.0000  0.0000  0.0000  0.0000
7.850  0.0000  0.0000  0.0000  0.0000
7.950  0.0000  0.0000  0.0000  0.0000
8.050  0.0000  0.0000  0.0000  0.0000
8.150  0.0000  0.0000  0.0000  0.0000
8.250  0.0000  0.0000  0.0000  0.0000
