# SIGMA_QGP=1, SIGMA_HAD=0.7
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.18, BARYON_FUDGE=0.666667
# ------- normalization=0.226856 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.3079  0.0001  0.0615  0.0741  0.1723
0.150  0.2873  0.0001  0.0580  0.0693  0.1601
0.250  0.2643  0.0001  0.0538  0.0637  0.1468
0.350  0.2406  0.0001  0.0494  0.0580  0.1332
0.450  0.2156  0.0001  0.0448  0.0520  0.1188
0.550  0.1901  0.0001  0.0404  0.0457  0.1040
0.650  0.1646  0.0001  0.0357  0.0398  0.0891
0.750  0.1403  0.0001  0.0313  0.0339  0.0750
0.850  0.1171  0.0000  0.0270  0.0285  0.0615
0.950  0.0949  0.0000  0.0227  0.0236  0.0486
1.050  0.0751  0.0000  0.0191  0.0189  0.0371
1.150  0.0574  0.0000  0.0154  0.0149  0.0271
1.250  0.0427  0.0000  0.0125  0.0112  0.0190
1.350  0.0302  0.0000  0.0094  0.0082  0.0126
1.450  0.0202  0.0000  0.0067  0.0056  0.0079
1.550  0.0122  0.0000  0.0043  0.0034  0.0044
1.650  0.0062  0.0000  0.0023  0.0018  0.0021
1.750  0.0018  0.0000  0.0008  0.0005  0.0005
