# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.059506 -----------------
#dely    BF    dB     BFVar
0.050  0.1004  0.0004  0.0025
0.150  0.0959  0.0004  0.0021
0.250  0.0850  0.0003  0.0024
0.350  0.0748  0.0003  0.0014
0.450  0.0618  0.0003  0.0015
0.550  0.0504  0.0002  0.0016
0.650  0.0397  0.0002  0.0011
0.750  0.0299  0.0002  0.0014
0.850  0.0219  0.0001  0.0012
0.950  0.0152  0.0001  0.0007
1.050  0.0098  0.0001  0.0015
1.150  0.0054  0.0001  0.0007
1.250  0.0027  0.0000  0.0002
1.350  0.0015  0.0000  0.0002
1.450  0.0004  0.0000  0.0001
1.550  0.0001  0.0000  0.0001
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
