! kt  lambda  Rout  Routlab Rside   Rlong
 100.0 0.8848  4.844  4.747  4.358  5.505  1.089
 200.0 0.8857  4.851  4.496  4.356  5.246  1.032
 300.0 0.8632  5.216  4.458  3.965  4.668  1.124
 400.0 0.8985  5.680  4.413  4.076  4.209  1.083
 500.0 0.8995  5.898  4.144  3.854  3.664  1.075
 600.0 0.8889  6.411  4.073  3.479  3.479  1.171
 700.0 0.8920  6.910  3.982  3.272  2.991  1.217
 800.0 0.9162  7.133  3.746  3.482  2.604  1.076
 900.0 0.9289  7.270  3.497  3.010  2.340  1.161
