! kt  lambda  Rout  Routlab Rside   Rlong
 100.0 0.7212  4.075  3.994  3.641  4.663  1.097
 200.0 0.7351  4.115  3.814  3.647  4.479  1.046
 300.0 0.6944  4.484  3.832  3.300  3.929  1.161
 400.0 0.7388  4.963  3.856  3.425  3.515  1.126
 500.0 0.7633  5.277  3.707  3.287  3.105  1.128
 600.0 0.7842  5.797  3.684  2.974  2.979  1.238
 700.0 0.8086  6.387  3.681  2.843  2.592  1.295
 800.0 0.8591  6.700  3.518  3.086  2.287  1.140
 900.0 0.9007  6.869  3.304  2.704  2.092  1.222
