# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0108694 -----------------
#dely    BF    dB     BFVar
0.050  0.0073  0.0000  0.0037
0.150  0.0047  0.0000  0.0023
0.250  0.0023  0.0000  0.0021
0.350  0.0003  0.0000  0.0021
0.450 -0.0007 -0.0000  0.0028
0.550 -0.0038 -0.0000  0.0019
0.650 -0.0073 -0.0000  0.0017
0.750 -0.0089 -0.0000  0.0021
0.850 -0.0120 -0.0000  0.0010
0.950 -0.0131 -0.0000  0.0010
1.050 -0.0142 -0.0000  0.0017
1.150 -0.0146 -0.0000  0.0009
1.250 -0.0141 -0.0000  0.0011
1.350 -0.0124 -0.0000  0.0007
1.450 -0.0098 -0.0000  0.0004
1.550 -0.0072 -0.0000  0.0004
1.650 -0.0040 -0.0000  0.0003
1.750 -0.0013 -0.0000  0.0004
