# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.852872 -----------------
#dely    BF
0.050  0.8793  0.0049
0.150  0.8726  0.0048
0.250  0.8062  0.0045
0.350  0.8057  0.0046
0.450  0.8218  0.0047
0.550  0.7487  0.0044
0.650  0.6941  0.0042
0.750  0.6439  0.0040
0.850  0.6542  0.0042
0.950  0.5387  0.0036
1.050  0.5214  0.0036
1.150  0.4881  0.0035
1.250  0.4841  0.0037
1.350  0.4052  0.0032
1.450  0.3729  0.0031
1.550  0.3745  0.0033
1.650  0.3286  0.0030
1.750  0.3217  0.0031
1.850  0.2898  0.0030
1.950  0.2516  0.0027
2.050  0.2337  0.0026
2.150  0.2076  0.0025
2.250  0.1812  0.0023
2.350  0.1777  0.0024
2.450  0.1551  0.0021
2.550  0.1225  0.0018
2.650  0.1317  0.0020
2.750  0.1152  0.0018
2.850  0.1016  0.0018
2.950  0.0837  0.0015
3.050  0.0911  0.0017
3.150  0.0687  0.0014
3.250  0.0756  0.0015
3.350  0.0425  0.0009
3.450  0.0335  0.0008
3.550  0.0327  0.0008
3.650  0.0131  0.0003
3.750  0.0199  0.0005
3.850  0.0089  0.0002
3.950 -0.0093 -0.0003
4.050 -0.0284 -0.0009
4.150 -0.0220 -0.0007
4.250 -0.0339 -0.0012
4.350 -0.0284 -0.0010
4.450 -0.0361 -0.0013
4.550 -0.0423 -0.0016
4.650 -0.0756 -0.0029
4.750 -0.0515 -0.0021
4.850 -0.0635 -0.0027
4.950 -0.0713 -0.0033
5.050 -0.0545 -0.0024
5.150 -0.0725 -0.0035
5.250 -0.0967 -0.0050
5.350 -0.0708 -0.0037
5.450 -0.0622 -0.0034
5.550 -0.0744 -0.0042
5.650 -0.0845 -0.0051
5.750 -0.0762 -0.0046
5.850 -0.1046 -0.0067
5.950 -0.0848 -0.0057
6.050 -0.0909 -0.0058
6.150 -0.1207 -0.0083
6.250 -0.1009 -0.0074
6.350 -0.0734 -0.0060
6.450 -0.0969 -0.0081
6.550 -0.0676 -0.0055
6.650 -0.1132 -0.0098
6.750 -0.0911 -0.0084
6.850 -0.0835 -0.0078
6.950 -0.1018 -0.0096
7.050 -0.0839 -0.0087
7.150 -0.0794 -0.0086
7.250 -0.0583 -0.0062
7.350 -0.0929 -0.0112
7.450 -0.0884 -0.0097
7.550 -0.0689 -0.0084
7.650 -0.0256 -0.0032
7.750 -0.0533 -0.0071
7.850 -0.0494 -0.0074
7.950 -0.0551 -0.0078
8.050 -0.0153 -0.0023
8.150 -0.0363 -0.0058
8.250 -0.0704 -0.0106
8.350 -0.0395 -0.0070
8.450 -0.0270 -0.0064
8.550 -0.0785 -0.0136
8.650 -0.0401 -0.0070
8.750 -0.0319 -0.0065
8.850 -0.0494 -0.0103
8.950 -0.0192 -0.0039
9.050 -0.0670 -0.0140
9.150 -0.0317 -0.0077
9.250 -0.0422 -0.0097
9.350 -0.0775 -0.0195
9.450 -0.0592 -0.0134
9.550 -0.0588 -0.0127
9.650 -0.0558 -0.0181
9.750 -0.0140 -0.0038
9.850 -0.0274 -0.0102
9.950 -0.0082 -0.0024
10.050  0.0100  0.0038
10.150 -0.0048 -0.0017
10.250 -0.0212 -0.0071
10.350 -0.0409 -0.0175
10.450 -0.0286 -0.0091
10.550 -0.0196 -0.0069
10.650 -0.0355 -0.0218
10.750 -0.0234 -0.0125
10.850 -0.0155 -0.0099
10.950 -0.0066 -0.0048
11.050  0.0007  0.0002
11.150 -0.0383 -0.0145
11.250 -0.0073 -0.0045
11.350  0.0407  0.0171
11.450 -0.0324 -0.0183
11.550  0.0138  0.0060
11.650 -0.0211 -0.0094
11.750  0.0169  0.0089
11.850 -0.0368 -0.0299
11.950 -0.0258 -0.0125
