# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-9.12021e-06 -----------------
#dely    BF
0.050  0.0575  0.0052
0.150  0.0618  0.0053
0.250  0.0409  0.0039
0.350  0.0477  0.0047
0.450 -0.0036 -0.0004
0.550 -0.0535 -0.0063
0.650 -0.0072 -0.0009
0.750 -0.0460 -0.0068
0.850 -0.0397 -0.0075
0.950 -0.0103 -0.0022
1.050 -0.0439 -0.0113
1.150  0.0026  0.0010
1.250  0.0036  0.0013
1.350 -0.0004 -0.0002
1.450 -0.0007 -0.0007
1.550 -0.0088 -0.0062
1.650  0.0000  0.0000
1.750  0.0000  0.0000
