           0.05         0.3647         0.0727         0.1966         0.2206         0.2384         0.3419         0.3079         0.3143         0.2541         0.3444         0.3326         0.2306         0.3218         0.3532         0.2539         0.3351            0.4         0.3164         0.3378         0.2099
           0.15         0.3591           0.07         0.1831         0.2035         0.2231         0.3065         0.3292         0.2505         0.2408         0.2948          0.341          0.228         0.2807         0.3417         0.1885         0.2949         0.3542         0.3214         0.3169         0.2016
           0.25          0.337         0.0829         0.1639          0.198         0.2051         0.3023         0.3047         0.2733         0.1973         0.3145         0.2753         0.1901         0.2532          0.344         0.2094          0.321         0.2737         0.2833         0.3372         0.1962
           0.35         0.3019         0.1217         0.1669         0.1424         0.1703         0.2981         0.2629         0.2368         0.1893         0.2704         0.2297         0.1844         0.2647         0.2955         0.1688         0.3117         0.2455         0.2046         0.2877          0.137
           0.45         0.2428          0.132         0.1541         0.1824         0.1895         0.2365         0.2364         0.2453          0.199         0.2367         0.1973         0.2125         0.2099         0.2336         0.1962         0.2376         0.2398         0.2381          0.227         0.1388
           0.55         0.1922         0.1381           0.18         0.1551         0.1393         0.2124         0.1986         0.1676         0.1644         0.1637         0.2204          0.168         0.1873         0.2067         0.1809         0.1851         0.2294          0.172         0.2108          0.159
           0.65         0.1541         0.1003         0.1176         0.1323          0.153         0.1751         0.1525         0.1601         0.1233         0.1592         0.1421         0.1579         0.1433         0.2219         0.1369         0.2098         0.1899         0.1705         0.1613          0.175
           0.75         0.1317         0.1102         0.1226         0.1176         0.1312         0.1622         0.1246          0.114         0.1261         0.1451         0.1439         0.1261         0.1352         0.1392         0.1244         0.1627         0.1301         0.1465         0.1265         0.1257
           0.85         0.1155         0.1161         0.1152         0.0795         0.1203         0.1405         0.0989         0.1177         0.1164         0.1196          0.133         0.0743         0.1294         0.1014         0.1331         0.1207         0.1083         0.0971          0.099         0.1018
           0.95         0.0903         0.0972         0.0867         0.0896         0.1148         0.0886         0.0813         0.0903         0.0914          0.077          0.072         0.0831         0.0899         0.0926          0.099         0.0731          0.082         0.0716         0.0782         0.0893
           1.05         0.0436         0.0859         0.0613         0.0794          0.069          0.066         0.0524         0.0499         0.0675         0.0593         0.0556          0.067         0.0595         0.0583         0.0731         0.0534         0.0392         0.0664         0.0733         0.0706
           1.15          0.034         0.0601         0.0709          0.042          0.052         0.0397         0.0389          0.056         0.0786         0.0432         0.0429         0.0518         0.0385         0.0576         0.0498         0.0395         0.0485         0.0512         0.0465         0.0501
           1.25         0.0327         0.0476         0.0335         0.0323         0.0356          0.023          0.026         0.0204         0.0326         0.0349         0.0202         0.0431         0.0436         0.0292         0.0427         0.0168         0.0225         0.0502         0.0189          0.036
           1.35         0.0115         0.0264         0.0233         0.0232         0.0234         0.0156         0.0249         0.0206         0.0196         0.0271         0.0124         0.0165         0.0277         0.0189         0.0169         0.0267         0.0263         0.0158         0.0181         0.0269
           1.45         0.0049         0.0182         0.0182         0.0124         0.0214         0.0158         0.0147         0.0111         0.0131         0.0089         0.0227         0.0093         0.0151         0.0104         0.0189          0.018         0.0047         0.0188         0.0103         0.0219
           1.55          0.009         0.0156         0.0127         0.0023         0.0046         0.0039         0.0022         0.0043         0.0088         0.0072          0.006         0.0129         0.0041         0.0048         0.0084         0.0041         0.0031         0.0066         0.0055          0.014
           1.65         0.0008         0.0056         0.0014         0.0001         0.0003        -0.0005         0.0055        -0.0005          0.004         0.0011         0.0069         0.0015        -0.0026          0.002         0.0015         0.0008          0.003        -0.0012         0.0016         0.0024
           1.75        -0.0006        -0.0001         0.0005        -0.0001         0.0008         0.0001         0.0001        -0.0003         0.0012         0.0006        -0.0003         0.0004         0.0003        -0.0002          0.001         0.0003             -0         0.0001         0.0008        -0.0005
