# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.046605 -----------------
#dely    BF
0.050 -0.0569 -0.0005
0.150 -0.0546 -0.0005
0.250 -0.0535 -0.0005
0.350 -0.0523 -0.0005
0.450 -0.0477 -0.0005
0.550 -0.0393 -0.0004
0.650 -0.0382 -0.0005
0.750 -0.0320 -0.0004
0.850 -0.0282 -0.0004
0.950 -0.0224 -0.0004
1.050 -0.0168 -0.0003
1.150 -0.0113 -0.0002
1.250 -0.0067 -0.0002
1.350 -0.0041 -0.0001
1.450 -0.0018 -0.0001
1.550 -0.0003 -0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
