           0.05         0.1222         0.1426         0.1729         0.1569         0.1615         0.1409         0.2182         0.2544         0.2112         0.1564         0.1574         0.1827           0.19         0.2143          0.166         0.1449         0.2077          0.182         0.1907         0.1253	0.059306
           0.15         0.1675         0.1166         0.2332          0.188          0.114         0.1433          0.136         0.1522         0.2176          0.122         0.1645         0.1911          0.193         0.1372         0.1452         0.1932         0.1768         0.1861          0.165         0.1156	0.085957
           0.25         0.1196         0.1142         0.1075         0.1382         0.1479           0.11         0.1084         0.1488         0.1396         0.1338         0.1322          0.159         0.1417         0.1186         0.0948         0.1991         0.1603           0.13         0.1378         0.1468	0.090366
           0.35         0.0984         0.0847         0.1329         0.1229         0.1037         0.1387         0.1248          0.165         0.1639         0.1172           0.09         0.1681         0.1501         0.0606         0.1263         0.1202         0.1066         0.1277         0.1176         0.1116	0.092977
           0.45          0.066         0.1001         0.0926         0.0754         0.0869         0.0756         0.0816         0.1337         0.1211         0.1008         0.0802          0.093          0.108         0.0831         0.0914         0.0537         0.0696         0.0724         0.0878         0.0968	0.081773
           0.55         0.1095         0.0523         0.1061         0.0546         0.0413          0.089         0.0777         0.0432         0.0904         0.0599         0.0886         0.0736         0.0549         0.0597         0.0668          0.036         0.1069         0.0551          0.038         0.0905	0.072473
           0.65         0.0677         0.0466         0.0654         0.0502         0.0324         0.0476         0.0283         0.0646         0.0708         0.0991         0.0656         0.0444         0.0779         0.0838         0.0732         0.0798         0.0624         0.0538         0.0747         0.0674	0.058758
           0.75         0.0433         0.0187         0.0361         0.0509         0.0426         0.0395         0.0544         0.0527         0.0562         0.0473         0.0281         0.0404         0.0273          0.056         0.0253         0.0763         0.0421         0.0509         0.0751         0.0628	0.048403
           0.85         0.0403         0.0318         0.0434         0.0052         0.0525         0.0335         0.0337         0.0701         0.0211          0.035         0.0187         0.0246         0.0111         0.0341         0.0285         0.0067         0.0267         0.0127         0.0373         0.0138	0.034756
           0.95         0.0331         0.0168         0.0141         0.0274         0.0146         0.0051         0.0238         0.0358         0.0169         0.0271          0.015         0.0103         0.0099         0.0207         0.0151         0.0249         0.0148         0.0157         0.0054         0.0206	0.025566
           1.05         0.0067         0.0146         0.0051         0.0161         0.0199         0.0034         0.0161         0.0153         0.0062         0.0104          0.002         0.0012         0.0089         0.0173         0.0103         0.0197         0.0084         0.0293         0.0075         0.0043	0.016020
           1.15         0.0184         0.0041         0.0058         0.0019         0.0024          0.004         0.0093         0.0048         0.0196         0.0107         0.0104         0.0054          0.001          0.001         0.0052         0.0011         0.0017              0         0.0092         0.0059	0.009645
           1.25         0.0048         0.0008          0.001              0         0.0034         0.0017          0.001              0         0.0024         0.0082         0.0027              0         0.0033         0.0006         0.0006         0.0041         0.0017              0         0.0024          0.004	0.006087
           1.35              0              0              0              0         0.0065         0.0006              0         0.0006              0          0.003              0          0.001          0.002              0         0.0006              0              0              0         0.0038         0.0007	0.002825
           1.45         0.0016              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0         0.0024              0	0.001133
           1.55              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0	0.000016
           1.65              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0	0.000011
           1.75              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0              0	0.000000
	0.000000
	0.000000
	0.000000
	0.000000
	0.000000
	0.000000
	0.000000
	0.000000
