# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-6.66551e-05 -----------------
#dely    BF
0.050 -0.0118 -0.0007
0.150 -0.0970 -0.0054
0.250  0.0275  0.0016
0.350 -0.0141 -0.0008
0.450  0.1844  0.0106
0.550  0.0579  0.0034
0.650 -0.0060 -0.0004
0.750  0.0512  0.0033
0.850  0.0381  0.0028
0.950  0.0036  0.0002
1.050  0.0023  0.0002
1.150 -0.0061 -0.0005
1.250  0.0008  0.0001
1.350 -0.0350 -0.0028
1.450  0.0067  0.0006
1.550 -0.0400 -0.0035
1.650 -0.0368 -0.0031
1.750 -0.0261 -0.0026
1.850 -0.0416 -0.0043
1.950 -0.0425 -0.0046
2.050 -0.0114 -0.0014
2.150 -0.0316 -0.0039
2.250 -0.0146 -0.0018
2.350 -0.0283 -0.0036
2.450 -0.0268 -0.0036
2.550 -0.0258 -0.0035
2.650 -0.0254 -0.0035
2.750 -0.0180 -0.0026
2.850 -0.0157 -0.0024
2.950 -0.0268 -0.0043
3.050 -0.0090 -0.0015
3.150 -0.0092 -0.0015
3.250 -0.0121 -0.0021
3.350 -0.0101 -0.0018
3.450 -0.0039 -0.0009
3.550 -0.0079 -0.0015
3.650 -0.0103 -0.0021
3.750 -0.0015 -0.0003
3.850 -0.0015 -0.0004
3.950 -0.0058 -0.0013
4.050  0.0003  0.0001
4.150 -0.0022 -0.0005
4.250 -0.0014 -0.0003
4.350 -0.0035 -0.0010
4.450  0.0019  0.0005
4.550  0.0022  0.0008
4.650  0.0004  0.0001
4.750  0.0070  0.0022
4.850  0.0037  0.0014
4.950  0.0045  0.0013
5.050  0.0080  0.0027
5.150 -0.0045 -0.0016
5.250  0.0119  0.0033
5.350  0.0000  0.0000
5.450  0.0057  0.0025
5.550  0.0047  0.0021
5.650  0.0077  0.0035
5.750  0.0056  0.0023
5.850  0.0069  0.0035
5.950  0.0049  0.0020
6.050  0.0033  0.0024
6.150 -0.0037 -0.0021
6.250  0.0244  0.0086
6.350  0.0000  0.0000
6.450  0.0160  0.0065
6.550  0.0037  0.0026
6.650  0.0042  0.0030
6.750  0.0040  0.0040
6.850  0.0126  0.0063
6.950  0.0000  0.0000
7.050  0.0000  0.0000
7.150  0.0080  0.0056
7.250  0.0038  0.0027
7.350  0.0000  0.0000
7.450  0.0048  0.0048
7.550  0.0236  0.0118
7.650  0.0000  0.0000
7.750  0.0000  0.0000
7.850  0.0201  0.0101
7.950  0.0000  0.0000
8.050  0.0000  0.0000
8.150  0.0000  0.0000
8.250  0.0054  0.0054
8.350  0.0000  0.0000
8.450  0.0109  0.0077
8.550  0.0000  0.0000
8.650  0.0000  0.0000
8.750  0.0056  0.0056
8.850  0.0000  0.0000
8.950 -0.0043 -0.0043
9.050  0.0117  0.0083
9.150  0.0000  0.0000
9.250  0.0000  0.0000
9.350  0.0000  0.0000
9.450  0.0000  0.0000
9.550  0.0061  0.0061
9.650  0.0060  0.0060
9.750  0.0000  0.0000
9.850  0.0121  0.0121
9.950  0.0000  0.0000
10.050  0.0000  0.0000
10.150  0.0062  0.0062
10.250  0.0000  0.0000
10.350  0.0000  0.0000
10.450  0.0000  0.0000
10.550  0.0000  0.0000
10.650  0.0186  0.0186
10.750  0.0000  0.0000
10.850  0.0000  0.0000
10.950  0.0000  0.0000
11.050  0.0000  0.0000
11.150  0.0000  0.0000
11.250  0.0000  0.0000
11.350  0.0000  0.0000
11.450  0.0000  0.0000
11.550  0.0000  0.0000
11.650  0.0000  0.0000
11.750  0.0000  0.0000
11.850  0.0000  0.0000
11.950  0.0000  0.0000
