# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0135459 -----------------
#dely    BF
0.050  0.0200  0.0016
0.150  0.0155  0.0012
0.250  0.0086  0.0008
0.350  0.0061  0.0006
0.450 -0.0402 -0.0042
0.550 -0.0226 -0.0026
0.650 -0.0219 -0.0029
0.750 -0.0219 -0.0034
0.850 -0.0189 -0.0027
0.950 -0.0360 -0.0065
1.050 -0.0150 -0.0037
1.150 -0.0043 -0.0011
1.250 -0.0017 -0.0010
1.350 -0.0031 -0.0015
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
