# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-7.16357e-05 -----------------
#dely    BF
0.050  0.2433  0.0129
0.150  0.2619  0.0135
0.250  0.0844  0.0048
0.350  0.0333  0.0020
0.450 -0.0951 -0.0059
0.550 -0.0945 -0.0063
0.650 -0.0444 -0.0033
0.750 -0.1170 -0.0099
0.850 -0.1024 -0.0093
0.950 -0.0813 -0.0088
1.050 -0.0617 -0.0078
1.150 -0.0253 -0.0039
1.250 -0.0062 -0.0010
1.350  0.0005  0.0002
1.450  0.0034  0.0014
1.550  0.0002  0.0001
1.650  0.0000  0.0000
1.750  0.0000  0.0000
