# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.238811 -----------------
#dely    BF    dB     BFVar
0.050  0.2733  0.0001  0.0036
0.150  0.2550  0.0001  0.0044
0.250  0.2413  0.0001  0.0053
0.350  0.2252  0.0001  0.0053
0.450  0.2121  0.0001  0.0034
0.550  0.1936  0.0001  0.0022
0.650  0.1756  0.0001  0.0021
0.750  0.1585  0.0001  0.0035
0.850  0.1403  0.0001  0.0024
0.950  0.1224  0.0001  0.0037
1.050  0.1028  0.0001  0.0018
1.150  0.0855  0.0001  0.0016
1.250  0.0681  0.0001  0.0012
1.350  0.0520  0.0001  0.0012
1.450  0.0381  0.0001  0.0014
1.550  0.0257  0.0001  0.0009
1.650  0.0142  0.0000  0.0004
1.750  0.0044  0.0000  0.0002
