# ICODE=321, JCODE=-321
# SIGMA_QGP=0.5, SIGMA_HAD=0.5
# NSAMPLE=1000000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.175, BARYON_FUDGE=0.65
# ------- normalization=0.0832267 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.1462  0.0001  0.1464 -0.0063  0.0061
0.150  0.1375  0.0001  0.1377 -0.0059  0.0057
0.250  0.1233  0.0001  0.1235 -0.0054  0.0052
0.350  0.1059  0.0001  0.1060 -0.0046  0.0045
0.450  0.0879  0.0000  0.0879 -0.0038  0.0037
0.550  0.0700  0.0000  0.0700 -0.0030  0.0031
0.650  0.0538  0.0000  0.0537 -0.0024  0.0025
0.750  0.0397  0.0000  0.0395 -0.0017  0.0019
0.850  0.0280  0.0000  0.0277 -0.0012  0.0014
0.950  0.0184  0.0000  0.0182 -0.0008  0.0010
1.050  0.0112  0.0000  0.0111 -0.0005  0.0006
1.150  0.0061  0.0000  0.0061 -0.0003  0.0003
1.250  0.0029  0.0000  0.0029 -0.0001  0.0001
1.350  0.0011  0.0000  0.0011 -0.0000  0.0000
1.450  0.0003  0.0000  0.0003 -0.0000  0.0000
1.550  0.0000  0.0000  0.0000 -0.0000  0.0000
1.650  0.0000  0.0000  0.0000 -0.0000  0.0000
1.750  0.0000  0.0000  0.0000  0.0000  0.0000
