# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.305377 -----------------
#dely    BF    dB     BFVar
0.050  0.5670  0.0003  0.0047
0.150  0.5171  0.0003  0.0034
0.250  0.4547  0.0002  0.0036
0.350  0.3876  0.0002  0.0058
0.450  0.3166  0.0002  0.0031
0.550  0.2507  0.0002  0.0038
0.650  0.1919  0.0001  0.0030
0.750  0.1406  0.0001  0.0032
0.850  0.0977  0.0001  0.0019
0.950  0.0638  0.0001  0.0029
1.050  0.0381  0.0000  0.0017
1.150  0.0200  0.0000  0.0014
1.250  0.0090  0.0000  0.0007
1.350  0.0027  0.0000  0.0005
1.450 -0.0006 -0.0000  0.0004
1.550 -0.0018 -0.0000  0.0004
1.650 -0.0011 -0.0000  0.0001
1.750 -0.0001 -0.0000  0.0000
