0.756609 0.785738 0.85642 0.813992 
0.642775 0.878188 0.660303 1.48069 
0.572222 0.802628 0.497266 1.43627 
0.634016 0.848336 0.66595 1.48898 
0.632619 0.884877 0.690743 1.47177 
0.690415 0.889767 0.746791 1.49314 
0.648026 0.908555 0.66607 1.47104 
0.646327 0.959149 0.64384 1.48988 
0.624184 0.796575 0.51888 1.48218 
0.649631 0.723955 0.465692 1.46569 
0.643067 0.832565 0.669182 1.44451 
0.605547 0.850763 0.578018 1.46763 
0.646041 0.936317 0.67266 1.49727 
0.635513 0.96223 0.661208 1.49129 
0.62076 0.882484 0.616672 1.48044 
0.610728 0.894725 0.612993 1.45977 
0.63023 0.892739 0.65203 1.49964 
0.636004 0.953444 0.646033 1.48191 
0.638256 0.88781 0.67063 1.48874 
0.651116 0.879076 0.683709 1.4619 
