'InvCoshPar_uu_width','InvCoshPar_ud_width','InvCoshPar_us_width','InvCoshPar_ss_width'
-0.107257,-0.0352528,0.139465,0.0345866
-0.0820622,-0.0928581,0.0774255,0.408133
0.0323603,0.0745228,0.185782,0.498257
0.0323603,0.0745228,0.185782,0.498257
-0.030465,-0.0752248,0.0294364,0.716837
-0.0255647,-0.0133023,-0.175545,0.703913
-0.143582,0.0741182,-0.124641,0.748524
-0.0065247,-0.0771903,-0.289986,0.817656
-0.0065247,-0.0771903,-0.289986,0.817656
-0.0065247,-0.0771903,-0.289986,0.817656
-0.0383448,0.0764682,-0.247687,0.802271
-0.0383448,0.0764682,-0.247687,0.802271
-0.0181048,0.0218843,-0.339372,0.833344
-0.0953183,-0.0558681,-0.324436,0.881979
-0.0259281,-0.0724688,-0.310737,0.980633
-0.0259281,-0.0724688,-0.310737,0.980633
-0.0941056,-0.0964393,-0.308313,1.14867
-0.136532,-0.0975854,-0.42073,1.21925
-0.181634,-0.0297304,-0.328741,1.39325
-0.246359,0.0695968,-0.214768,1.44969
-0.246359,0.0695968,-0.214768,1.44969
-0.246359,0.0695968,-0.214768,1.44969
-0.316735,0.190235,-0.184269,1.51604
-0.299197,0.146773,-0.183646,1.56222
-0.28658,0.10939,-0.191826,1.70628
-0.28658,0.10939,-0.191826,1.70628
-0.320605,0.179351,-0.173815,1.64955
-0.320605,0.179351,-0.173815,1.64955
-0.320605,0.179351,-0.173815,1.64955
-0.355767,0.0396902,-0.299268,1.58827
-0.386711,0.0619376,-0.38941,1.6224
-0.386711,0.0619376,-0.38941,1.6224
-0.414604,0.0776852,-0.4119,1.53081
-0.414604,0.0776852,-0.4119,1.53081
-0.357843,0.0863079,-0.362122,1.65079
-0.357843,0.0863079,-0.362122,1.65079
-0.399007,0.283954,-0.400159,1.68754
-0.254795,0.303601,-0.135014,1.71382
-0.254795,0.303601,-0.135014,1.71382
-0.276516,0.2915,-0.109185,1.67773
-0.276516,0.2915,-0.109185,1.67773
-0.329438,0.0959888,-0.272616,1.65874
-0.321164,0.0466083,-0.284551,1.59627
-0.490734,0.222509,-0.385766,1.70646
-0.395013,0.287331,-0.35722,1.72413
-0.427017,0.301831,-0.37701,1.71904
-0.3866,0.263445,-0.302459,1.69358
-0.376021,0.401161,-0.337204,1.72536
-0.347717,0.327106,-0.252004,1.68569
-0.347717,0.327106,-0.252004,1.68569
-0.319802,0.380828,-0.294186,1.64999
-0.320982,0.122547,-0.19752,1.64921
-0.320982,0.122547,-0.19752,1.64921
-0.320982,0.122547,-0.19752,1.64921
-0.252062,0.11847,-0.163839,1.6913
-0.252062,0.11847,-0.163839,1.6913
-0.252062,0.11847,-0.163839,1.6913
-0.252062,0.11847,-0.163839,1.6913
-0.279371,0.205806,-0.203589,1.72643
-0.340487,0.27659,-0.187483,1.64596
-0.420742,0.243794,-0.277401,1.72715
-0.420742,0.243794,-0.277401,1.72715
-0.420742,0.243794,-0.277401,1.72715
-0.390946,0.259666,-0.307307,1.68599
-0.390856,0.19424,-0.30379,1.6195
-0.390856,0.19424,-0.30379,1.6195
-0.338438,0.262815,-0.253604,1.70996
-0.272184,0.147056,-0.191792,1.67352
-0.272184,0.147056,-0.191792,1.67352
-0.272184,0.147056,-0.191792,1.67352
-0.332073,0.219507,-0.225535,1.60593
-0.332073,0.219507,-0.225535,1.60593
-0.325033,0.161224,-0.22433,1.72982
-0.325033,0.161224,-0.22433,1.72982
-0.325033,0.161224,-0.22433,1.72982
-0.40391,0.174561,-0.392388,1.71803
-0.40391,0.174561,-0.392388,1.71803
-0.388642,0.193271,-0.345315,1.68259
-0.388642,0.193271,-0.345315,1.68259
-0.388642,0.193271,-0.345315,1.68259
-0.388642,0.193271,-0.345315,1.68259
