'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_us_width','InvCoshPar_us_g0','InvCoshPar_us_g1','InvCoshPar_ss_width','InvCoshPar_ss_g0','InvCoshPar_ss_g1'
0.900791,0.718416,0.0175245,1.33952,0.852522,0.565964,0.796029,0.237876,-0.842909,1.41886,0.651436,0.304167
0.904203,0.711221,0.0107318,1.34261,0.855076,0.571438,0.799286,0.238967,-0.836384,1.41036,0.648894,0.296298
0.8959,0.720775,0.0152748,1.34788,0.840564,0.552448,0.794722,0.238788,-0.843514,1.42192,0.643574,0.293821
0.891349,0.73087,0.0249783,1.36099,0.840982,0.559898,0.799894,0.227874,-0.852116,1.44048,0.635919,0.29099
0.907381,0.71914,0.0263111,1.32895,0.847187,0.552289,0.787928,0.235235,-0.859207,1.44492,0.635384,0.292225
0.9219,0.708878,0.027493,1.3272,0.845356,0.548594,0.785212,0.238574,-0.85839,1.43605,0.642634,0.299018
0.914042,0.724349,0.0417962,1.31184,0.831527,0.519427,0.802187,0.205444,-0.882353,1.42925,0.636536,0.286709
0.91926,0.731579,0.0585743,1.3117,0.823864,0.507849,0.803702,0.184665,-0.911282,1.44668,0.626759,0.280092
0.93274,0.727351,0.067246,1.31914,0.809672,0.490668,0.8137,0.170548,-0.917859,1.44609,0.634466,0.291382
0.941526,0.725756,0.0744077,1.31678,0.81369,0.495398,0.807857,0.158796,-0.943979,1.44298,0.633376,0.288324
0.941219,0.71313,0.0551357,1.33769,0.79278,0.475366,0.801978,0.182256,-0.91745,1.42837,0.629512,0.275759
0.927454,0.719372,0.0494397,1.32599,0.798532,0.477692,0.799085,0.199242,-0.89628,1.43342,0.625474,0.272057
0.927454,0.719372,0.0494397,1.32599,0.798532,0.477692,0.799085,0.199242,-0.89628,1.43342,0.625474,0.272057
0.935346,0.718255,0.0564514,1.3294,0.789698,0.466292,0.804448,0.213757,-0.866535,1.41651,0.638114,0.283063
0.944978,0.704275,0.0458882,1.33283,0.788442,0.466253,0.811439,0.203559,-0.871606,1.41295,0.634914,0.276565
0.965752,0.68982,0.0459419,1.32003,0.786094,0.455784,0.810204,0.226403,-0.83913,1.40015,0.637871,0.274821
0.947169,0.70722,0.0526428,1.32923,0.786853,0.461933,0.794847,0.253727,-0.820914,1.39082,0.639883,0.273264
0.947715,0.706334,0.0518953,1.32598,0.793405,0.47,0.805103,0.242181,-0.822928,1.39857,0.631456,0.26443
0.950435,0.701377,0.0473424,1.33533,0.791167,0.471686,0.799654,0.25192,-0.816402,1.40771,0.629019,0.265207
0.965742,0.696859,0.0564907,1.32384,0.796724,0.473811,0.802397,0.25793,-0.803303,1.37645,0.644231,0.272617
0.973811,0.692917,0.0587715,1.33626,0.798368,0.482987,0.811712,0.249866,-0.801742,1.37621,0.640094,0.266293
0.973811,0.692917,0.0587715,1.33626,0.798368,0.482987,0.811712,0.249866,-0.801742,1.37621,0.640094,0.266293
0.988972,0.682185,0.0577062,1.32783,0.795718,0.474471,0.81293,0.24793,-0.802884,1.37677,0.638876,0.264745
0.976407,0.693486,0.0622335,1.33758,0.791107,0.472797,0.803213,0.249787,-0.814311,1.38516,0.642722,0.274718
0.969357,0.710338,0.0804004,1.33368,0.79234,0.472557,0.811704,0.253348,-0.79653,1.40827,0.637264,0.277844
0.959016,0.70056,0.0551079,1.33037,0.790587,0.468147,0.814825,0.25188,-0.794225,1.41251,0.629031,0.267528
0.962832,0.694839,0.0504721,1.33759,0.789449,0.470313,0.812319,0.257749,-0.789035,1.43232,0.624362,0.269877
0.952828,0.704632,0.0547491,1.32633,0.788903,0.463436,0.80763,0.276202,-0.768179,1.41606,0.622244,0.25904
0.936296,0.726337,0.0696131,1.32383,0.790468,0.464425,0.796154,0.281005,-0.77802,1.42786,0.623211,0.266067
0.934709,0.728178,0.0706431,1.33183,0.788111,0.46522,0.794368,0.277303,-0.78627,1.44081,0.637837,0.294018
0.927802,0.727157,0.0615045,1.32889,0.808185,0.493749,0.788966,0.274247,-0.799087,1.4782,0.62796,0.295971
0.92262,0.742994,0.0794816,1.33078,0.807562,0.493836,0.797739,0.264605,-0.800239,1.47654,0.626944,0.293718
0.927123,0.738369,0.0775708,1.33897,0.801927,0.489769,0.802797,0.286588,-0.759719,1.49621,0.623556,0.29714
0.929438,0.728592,0.0654689,1.33456,0.806274,0.493936,0.814246,0.276842,-0.757611,1.47788,0.626188,0.293169
0.926403,0.726447,0.0588848,1.32784,0.794576,0.472762,0.809595,0.295013,-0.737089,1.48803,0.622115,0.29147
0.91565,0.726569,0.0469621,1.31265,0.798368,0.470126,0.818894,0.289047,-0.732644,1.48819,0.61896,0.286803
0.916886,0.727176,0.0492778,1.31364,0.796103,0.467281,0.821817,0.276384,-0.747493,1.48253,0.613435,0.276065
0.927041,0.714029,0.0409642,1.31729,0.790062,0.460232,0.814555,0.285232,-0.744578,1.46298,0.625078,0.284926
0.934731,0.714492,0.0501344,1.3163,0.792336,0.4631,0.820009,0.268599,-0.761733,1.46791,0.6333,0.299452
0.93063,0.705408,0.0320047,1.31517,0.787319,0.454948,0.834076,0.264573,-0.748131,1.48998,0.62571,0.297703
0.941945,0.700694,0.037261,1.31744,0.784177,0.451487,0.83297,0.275824,-0.732773,1.49812,0.623077,0.297233
0.979184,0.68403,0.0508223,1.31335,0.787208,0.453776,0.842394,0.253404,-0.753579,1.47578,0.622591,0.286855
0.969764,0.687906,0.0471618,1.32783,0.795647,0.474368,0.840579,0.247866,-0.764336,1.48873,0.625497,0.296845
0.985738,0.688091,0.0633991,1.3474,0.788084,0.473465,0.84018,0.239629,-0.777232,1.48348,0.630965,0.302777
0.979071,0.695377,0.0677311,1.34518,0.784399,0.466766,0.844751,0.243473,-0.765314,1.47844,0.628762,0.297275
