# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0541808 -----------------
#dely    BF
0.050 -0.0577 -0.0004
0.150 -0.0651 -0.0004
0.250 -0.0587 -0.0004
0.350 -0.0675 -0.0005
0.450 -0.0635 -0.0005
0.550 -0.0564 -0.0005
0.650 -0.0477 -0.0005
0.750 -0.0399 -0.0005
0.850 -0.0298 -0.0004
0.950 -0.0230 -0.0004
1.050 -0.0152 -0.0003
1.150 -0.0095 -0.0002
1.250 -0.0049 -0.0001
1.350 -0.0020 -0.0001
1.450 -0.0008 -0.0000
1.550 -0.0001 -0.0000
1.650 -0.0000 -0.0000
1.750  0.0000  0.0000
