# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.214587 -----------------
#dely    BF    dB     BFVar
0.050  0.2761  0.0002  0.0040
0.150  0.2569  0.0002  0.0040
0.250  0.2376  0.0002  0.0024
0.350  0.2193  0.0002  0.0034
0.450  0.1999  0.0001  0.0040
0.550  0.1776  0.0001  0.0022
0.650  0.1550  0.0001  0.0027
0.750  0.1358  0.0001  0.0029
0.850  0.1144  0.0001  0.0013
0.950  0.0956  0.0001  0.0024
1.050  0.0782  0.0001  0.0020
1.150  0.0625  0.0001  0.0018
1.250  0.0478  0.0001  0.0017
1.350  0.0357  0.0001  0.0014
1.450  0.0255  0.0000  0.0016
1.550  0.0162  0.0000  0.0007
1.650  0.0090  0.0000  0.0008
1.750  0.0028  0.0000  0.0003
