# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0119189 -----------------
#dely    BF    dB     BFVar
0.050 -0.0221 -0.0001  0.0019
0.150 -0.0163 -0.0001  0.0016
0.250 -0.0036 -0.0000  0.0022
0.350  0.0075  0.0000  0.0017
0.450  0.0168  0.0001  0.0021
0.550  0.0223  0.0001  0.0015
0.650  0.0245  0.0001  0.0016
0.750  0.0227  0.0001  0.0007
0.850  0.0205  0.0002  0.0006
0.950  0.0164  0.0001  0.0005
1.050  0.0128  0.0001  0.0004
1.150  0.0087  0.0001  0.0004
1.250  0.0052  0.0001  0.0005
1.350  0.0026  0.0001  0.0015
1.450  0.0011  0.0000  0.0001
1.550  0.0002  0.0000  0.0001
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
