# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0394936 -----------------
#dely    BF    dB     BFVar
0.050 -0.0777 -0.0003  0.0013
0.150 -0.0730 -0.0003  0.0018
0.250 -0.0642 -0.0003  0.0037
0.350 -0.0547 -0.0002  0.0011
0.450 -0.0443 -0.0002  0.0017
0.550 -0.0333 -0.0002  0.0015
0.650 -0.0236 -0.0001  0.0012
0.750 -0.0156 -0.0001  0.0007
0.850 -0.0084 -0.0001  0.0012
0.950 -0.0037 -0.0000  0.0015
1.050 -0.0009 -0.0000  0.0004
1.150  0.0009  0.0000  0.0006
1.250  0.0015  0.0000  0.0004
1.350  0.0013  0.0000  0.0002
1.450  0.0006  0.0000  0.0002
1.550  0.0001  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
