'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_us_width','InvCoshPar_us_g0'
0.918376,0.0251967,0.268509,0.141467,0.841074,0.424446,0.663536,0.72237
0.914816,0.0240003,0.271755,0.142648,0.839259,0.428692,0.659643,0.720313
0.919864,0.0241883,0.27137,0.142964,0.837766,0.427725,0.654096,0.717476
0.916325,0.0260962,0.263548,0.141034,0.836144,0.420983,0.654095,0.72114
0.91846,0.0359263,0.260138,0.145086,0.830973,0.426558,0.654446,0.715896
0.926435,0.040327,0.260936,0.14564,0.834956,0.426294,0.651622,0.711839
0.9248,0.0429192,0.269915,0.145753,0.833963,0.427665,0.65171,0.715618
0.925773,0.0425449,0.273469,0.146637,0.830533,0.426337,0.655442,0.717928
0.925012,0.0365006,0.268227,0.147394,0.832854,0.422938,0.662703,0.72384
0.925012,0.0365006,0.268227,0.147394,0.832854,0.422938,0.662703,0.72384
0.917543,0.0322416,0.269078,0.146886,0.829945,0.419264,0.660542,0.721933
0.914672,0.0376554,0.267216,0.151949,0.825649,0.421406,0.659198,0.719797
0.914672,0.0376554,0.267216,0.151949,0.825649,0.421406,0.659198,0.719797
0.913937,0.0313495,0.270623,0.153228,0.823594,0.420998,0.656848,0.71912
0.911058,0.0354469,0.276822,0.151417,0.826928,0.424466,0.6536,0.718419
0.919382,0.0369828,0.276463,0.153128,0.830627,0.424802,0.655434,0.720376
0.92032,0.037724,0.274445,0.162981,0.835501,0.422418,0.65861,0.720192
0.924766,0.0375308,0.274823,0.157331,0.824682,0.423873,0.662246,0.722011
0.92001,0.040554,0.276118,0.156986,0.826748,0.420503,0.656894,0.723311
0.920708,0.0352164,0.27871,0.155357,0.839928,0.42183,0.659397,0.721196
0.92431,0.0474225,0.268782,0.170791,0.834866,0.425501,0.665942,0.725249
0.924057,0.0416906,0.26784,0.170603,0.828245,0.432544,0.664837,0.724106
0.924052,0.0397896,0.270033,0.151836,0.827566,0.429116,0.659822,0.719706
0.923509,0.0459274,0.258726,0.156701,0.822915,0.432213,0.658218,0.721957
0.923509,0.0459274,0.258726,0.156701,0.822915,0.432213,0.658218,0.721957
0.928328,0.0442301,0.260519,0.151445,0.820496,0.431432,0.660718,0.722086
0.927103,0.0493039,0.258418,0.160009,0.820051,0.429604,0.662016,0.716626
0.92493,0.0529199,0.250714,0.162188,0.809328,0.427993,0.660067,0.718735
0.920515,0.051331,0.251394,0.163606,0.808651,0.428795,0.659009,0.722671
0.922007,0.0506279,0.252055,0.165261,0.807893,0.433022,0.661059,0.7266
0.923481,0.0509287,0.250594,0.159829,0.817282,0.433113,0.661124,0.720725
0.925095,0.0491144,0.264838,0.164977,0.821132,0.429642,0.659654,0.721154
0.926831,0.0503766,0.269252,0.167934,0.824886,0.434988,0.663144,0.722664
0.926831,0.0503766,0.269252,0.167934,0.824886,0.434988,0.663144,0.722664
0.929575,0.0496433,0.267459,0.166259,0.823939,0.432795,0.663045,0.72631
