'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_us_width','InvCoshPar_us_g0'
1.84491,-0.949607,0.610168,-0.717066,1.69804,-0.151109,1.36072,0.444739
1.83815,-0.951999,0.616335,-0.714705,1.69459,-0.142615,1.35332,0.440626
1.84774,-0.951623,0.615602,-0.714071,1.69176,-0.14455,1.34278,0.434952
1.84102,-0.947808,0.600741,-0.717931,1.68867,-0.158033,1.34278,0.44228
1.84507,-0.928147,0.594262,-0.709828,1.67885,-0.146884,1.34345,0.431792
1.86023,-0.919346,0.595779,-0.708721,1.68642,-0.147412,1.33808,0.423679
1.85712,-0.914162,0.612839,-0.708494,1.68453,-0.14467,1.33825,0.431235
1.85897,-0.91491,0.619592,-0.706727,1.67801,-0.147327,1.34534,0.435856
1.85752,-0.926999,0.609631,-0.705211,1.68242,-0.154123,1.35913,0.447681
1.85752,-0.926999,0.609631,-0.705211,1.68242,-0.154123,1.35913,0.447681
1.84333,-0.935517,0.611248,-0.706227,1.6769,-0.161472,1.35503,0.443865
1.83788,-0.924689,0.60771,-0.696102,1.66873,-0.157188,1.35248,0.439593
1.83788,-0.924689,0.60771,-0.696102,1.66873,-0.157188,1.35248,0.439593
1.83648,-0.937301,0.614183,-0.693545,1.66483,-0.158004,1.34801,0.43824
1.83101,-0.929106,0.625961,-0.697167,1.67116,-0.151068,1.34184,0.436838
1.84683,-0.926034,0.625279,-0.693745,1.67819,-0.150396,1.34532,0.440752
1.84861,-0.924552,0.621445,-0.674039,1.68745,-0.155163,1.35136,0.440384
1.85706,-0.924938,0.622163,-0.685338,1.6669,-0.152253,1.35827,0.444022
1.84802,-0.918892,0.624624,-0.686028,1.67082,-0.158994,1.3481,0.446621
1.84935,-0.929567,0.629548,-0.689286,1.69586,-0.15634,1.35285,0.442393
1.85619,-0.905155,0.610687,-0.658418,1.68625,-0.148998,1.36529,0.450498
1.85571,-0.916619,0.608897,-0.658794,1.67367,-0.134911,1.36319,0.448212
1.8557,-0.920421,0.613062,-0.696328,1.67238,-0.141769,1.35366,0.439413
1.85467,-0.908145,0.591579,-0.686599,1.66354,-0.135574,1.35061,0.443914
1.85467,-0.908145,0.591579,-0.686599,1.66354,-0.135574,1.35061,0.443914
1.86382,-0.91154,0.594986,-0.697109,1.65894,-0.137137,1.35536,0.444172
1.86149,-0.901392,0.590994,-0.679981,1.6581,-0.140793,1.35783,0.433253
